SKU         , Product_ID, Variant_ID, Product_Name                     , Variant_Name                                              , Category                              , Status, Metal_Type , Metal_Karat, Size    , Price_INR, Base_Price, Featured, Stock_Quantity, Gold_Weight_Grams  , Gold_Purity, Gold_Weight_Vendor , Diamond_Weight_Carats, Diamond_Weight_Vendor, Diamond_Count_Total, Diamond_Count_Other, Diamond_Shapes  , Diamond_Sizes_MM, Diamond_Cuts, Diamond_Quality_Grades, Diamond_Shape_Details                      , Making_Charges, Primary_Image_URL                                                       , All_Images                                                                                                                                                                                                                                                                                    , Total_Images, Style_Number , Product_Description                                                                                                                                                          , Created_Date, Total_Specs_Available
0111-Ro-1   , 1-0111    ,          1, Celesto Ring                     , "Celesto Ring - VVS VS - Solitaire, Gold 14ct"            , Rings                                 , active, Rose Gold  , 14kt       , Standard,   23100.0,           ,        0,             10,  4.23              , 18kt       ,  4.23              ,                 2.89 ,                 2.89 ,                10.0,                 1.0, "Round, Cushion", "2.5, 7.6x7.6"  , VS          , VS                    , Round: 10.0 (2.5); Cushion: 1.0 (7.6x7.6)  ,               , https://rareregalia.com/wp-content/uploads/2025/07/0111-R1.jpg          , https://rareregalia.com/wp-content/uploads/2025/07/0111-R1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/0111-R2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/0111-R3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/0111-R4.jpg                                ,            4, DOC -  0111  ,                                                                                                                                                                              , 2025-09-15  ,                     7
0111-Ro-2   , 1-0111    ,          2, Celesto Ring                     , "Celesto Ring - VVS VS - Solitaire, Gold 22ct"            , Rings                                 , active, Rose Gold  , 14kt       , Standard,   60600.0,           ,        0,             10,  4.23              , 18kt       ,  4.23              ,                 2.89 ,                 2.89 ,                10.0,                 1.0, "Round, Cushion", "2.5, 7.6x7.6"  , VS          , VS                    , Round: 10.0 (2.5); Cushion: 1.0 (7.6x7.6)  ,               , https://rareregalia.com/wp-content/uploads/2025/07/0111-R1.jpg          , https://rareregalia.com/wp-content/uploads/2025/07/0111-R1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/0111-R2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/0111-R3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/0111-R4.jpg                                ,            4, DOC -  0111  ,                                                                                                                                                                              , 2025-09-15  ,                     7
14078-Ro-3  , 2-14078   ,          3, Lumière Gold Tennis Bracelet     , "Lumière Gold Tennis Bracelet - 14kt Gold, Rose Gold"     , "Bracelet, Bracelet > Tennis Bracelet", active, Rose Gold  , 14kt       , Standard,  168177.0,           ,        0,             10, 14.1933024         , 18kt       , 14.1933024         ,                 3.358,                 3.358,                 1.0,                 0.0, Round           , 2.2             , VS          , VS                    , Round: 1.0 (2.2)                           ,               , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R1.jpg      , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R4.jpg                ,            4, TB-14078     ,                                                                                                                                                                              , 2025-09-15  ,                    14
14078-Wh-4  , 2-14078   ,          4, Lumière Gold Tennis Bracelet     , "Lumière Gold Tennis Bracelet - 14kt Gold, White Gold"    , "Bracelet, Bracelet > Tennis Bracelet", active, White Gold , 14kt       , Standard,          ,           ,        0,             10, 14.1933024         , 18kt       , 14.1933024         ,                 3.358,                 3.358,                 1.0,                 0.0, Round           , 2.2             , VS          , VS                    , Round: 1.0 (2.2)                           ,               , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W1.jpg      , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W4.jpg                ,            4, TB-14078     ,                                                                                                                                                                              , 2025-09-15  ,                    14
14078-Ye-5  , 2-14078   ,          5, Lumière Gold Tennis Bracelet     , "Lumière Gold Tennis Bracelet - 14kt Gold, Yellow Gold"   , "Bracelet, Bracelet > Tennis Bracelet", active, Yellow Gold, 14kt       , Standard,  168177.0,           ,        0,             10, 14.1933024         , 18kt       , 14.1933024         ,                 3.358,                 3.358,                 1.0,                 0.0, Round           , 2.2             , VS          , VS                    , Round: 1.0 (2.2)                           ,               , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y1.jpg      , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y4.jpg                ,            4, TB-14078     ,                                                                                                                                                                              , 2025-09-15  ,                    14
14078-Ro-6  , 2-14078   ,          6, Lumière Gold Tennis Bracelet     , "Lumière Gold Tennis Bracelet - 18kt Gold, Rose Gold"     , "Bracelet, Bracelet > Tennis Bracelet", active, Rose Gold  , 14kt       , Standard,  174092.0,           ,        0,             10, 14.1933024         , 18kt       , 14.1933024         ,                 3.358,                 3.358,                 1.0,                 0.0, Round           , 2.2             , VS          , VS                    , Round: 1.0 (2.2)                           ,               , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R1.jpg      , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R4.jpg                ,            4, TB-14078     ,                                                                                                                                                                              , 2025-09-15  ,                    14
14078-Wh-7  , 2-14078   ,          7, Lumière Gold Tennis Bracelet     , "Lumière Gold Tennis Bracelet - 18kt Gold, White Gold"    , "Bracelet, Bracelet > Tennis Bracelet", active, White Gold , 14kt       , Standard,  173888.0,           ,        0,             10, 14.1933024         , 18kt       , 14.1933024         ,                 3.358,                 3.358,                 1.0,                 0.0, Round           , 2.2             , VS          , VS                    , Round: 1.0 (2.2)                           ,               , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W1.jpg      , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W4.jpg                ,            4, TB-14078     ,                                                                                                                                                                              , 2025-09-15  ,                    14
14078-Ye-8  , 2-14078   ,          8, Lumière Gold Tennis Bracelet     , "Lumière Gold Tennis Bracelet - 18kt Gold, Yellow Gold"   , "Bracelet, Bracelet > Tennis Bracelet", active, Yellow Gold, 14kt       , Standard,  146892.0,           ,        0,             10, 14.1933024         , 18kt       , 14.1933024         ,                 3.358,                 3.358,                 1.0,                 0.0, Round           , 2.2             , VS          , VS                    , Round: 1.0 (2.2)                           ,               , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y1.jpg      , https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y4.jpg                ,            4, TB-14078     ,                                                                                                                                                                              , 2025-09-15  ,                    14
17026-Ro-9  , 3-17026   ,          9, Infinity Grace Dangler Earrings  , "Infinity Grace Dangler Earrings - Rose Gold, Gold 14ct"  , Earrings                              , active, Rose Gold  , 14kt       , Standard,   26080.0,           ,        0,             10,  2.6291848         , 18kt       ,  2.6291848         ,                 0.3  ,                 0.3  ,                96.0,                 0.0,                 ,                 ,             ,                       ,                                            ,               , https://rareregalia.com/wp-content/uploads/2025/07/17026-R1.jpg         , https://rareregalia.com/wp-content/uploads/2025/07/17026-R1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/17026-R2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/17026-R3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/17026-R4.jpg                            ,            4,              ,                                                                                                                                                                              , 2025-09-15  ,                    10
17026-Ye-10 , 3-17026   ,         10, Infinity Grace Dangler Earrings  , "Infinity Grace Dangler Earrings - Yellow Gold, Gold 14ct", Earrings                              , active, Yellow Gold, 14kt       , Standard,   26080.0,           ,        0,             10,  2.6291848         , 18kt       ,  2.6291848         ,                 0.3  ,                 0.3  ,                96.0,                 0.0,                 ,                 ,             ,                       ,                                            ,               , https://rareregalia.com/wp-content/uploads/2025/07/17026-Y1.jpg         , https://rareregalia.com/wp-content/uploads/2025/07/17026-Y1.jpg; https://rareregalia.com/wp-content/uploads/2025/07/17026-Y2.jpg; https://rareregalia.com/wp-content/uploads/2025/07/17026-Y3.jpg; https://rareregalia.com/wp-content/uploads/2025/07/17026-Y4.jpg                            ,            4,              ,                                                                                                                                                                              , 2025-09-15  ,                    10
