Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: _custom_product_text_field
variable,PARENT-1-0111,Celesto Ring,1,0,visible,Category: Rings | 2.89 ct diamonds | 4.23g gold,"<br><br><strong>Diamond Details:</strong><br>• Total Weight: 2.89 carats<br>• Count: 10 diamonds<br>• Shapes: Round, Cushion<br>• Quality: VS<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 4.23 grams<br>• Purity: 18kt<br>",,,taxable,,1,,,0,0,4.23,,,,1,,,23100.0 - 60600.0,Rings,"Round Diamond, Rings, Cushion Diamond, Rose Gold, VS Quality",,"https://rareregalia.com/wp-content/uploads/2025/07/0111-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/0111-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/0111-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/0111-R4.jpg",,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,"Style Number: DOC -  0111 | Gold Weight: 4.23g | Gold Purity: 18kt | Diamond Weight: 2.89 ct | Diamond Count: 10 | Diamond Shapes: Round, Cushion | Diamond Quality: VS"
variation,0111-Ro-1,Celesto Ring - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 4.23g | Diamond Weight: 2.89 carats,,,taxable,,1,10,2,0,0,4.23,,,,0,,,23100.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/0111-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/0111-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/0111-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/0111-R4.jpg",,,PARENT-1-0111,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,"Style Number: DOC -  0111 | Gold Weight: 4.23g | Gold Purity: 18kt | Diamond Weight: 2.89 ct | Diamond Count: 10 | Diamond Shapes: Round, Cushion | Diamond Quality: VS"
variation,0111-Ro-2,Celesto Ring - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 4.23g | Diamond Weight: 2.89 carats,,,taxable,,1,10,2,0,0,4.23,,,,0,,,60600.0,,,,"https://rareregalia.com/wp-content/uploads/2025/07/0111-R1.jpg, https://rareregalia.com/wp-content/uploads/2025/07/0111-R2.jpg, https://rareregalia.com/wp-content/uploads/2025/07/0111-R3.jpg, https://rareregalia.com/wp-content/uploads/2025/07/0111-R4.jpg",,,PARENT-1-0111,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,"Style Number: DOC -  0111 | Gold Weight: 4.23g | Gold Purity: 18kt | Diamond Weight: 2.89 ct | Diamond Count: 10 | Diamond Shapes: Round, Cushion | Diamond Quality: VS"
variable,PARENT-10-17001,Eterna Luxe Hoop Earrings,1,0,visible,Category: Earrings | 0.49 ct diamonds | 2.9765944g gold,<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.49 carats<br>• Count: 48 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 2.9765944 grams<br>• Purity: 18kt<br>,,,taxable,,1,,,0,0,2.98,,,,1,,,,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,https://rareregalia.com/wp-content/uploads/2025/07/17001-R3.jpg,,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 2.9765944g | Gold Purity: 18kt | Diamond Weight: 0.49 ct | Diamond Count: 48 | Diamond Shapes: nan | Diamond Quality: nan
variation,17001-Ro-17,Eterna Luxe Hoop Earrings - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 2.9765944g | Diamond Weight: 0.49 carats,,,taxable,,1,10,2,0,0,2.98,,,,0,,,,,,,https://rareregalia.com/wp-content/uploads/2025/07/17001-R3.jpg,,,PARENT-10-17001,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 2.9765944g | Gold Purity: 18kt | Diamond Weight: 0.49 ct | Diamond Count: 48 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-11-17002,Radiant Eternity Hoop Earrings,1,0,visible,Category: Earrings | 0.97 ct diamonds | 3.264343999999999g gold,<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.97 carats<br>• Count: 28 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 3.264343999999999 grams<br>• Purity: 18kt<br>,,,taxable,,1,,,0,0,3.26,,,,1,,,,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,https://rareregalia.com/wp-content/uploads/2025/07/17002-R3.jpg,,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 3.264343999999999g | Gold Purity: 18kt | Diamond Weight: 0.97 ct | Diamond Count: 28 | Diamond Shapes: nan | Diamond Quality: nan
variation,17002-Ro-18,Radiant Eternity Hoop Earrings - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 3.264343999999999g | Diamond Weight: 0.97 carats,,,taxable,,1,10,2,0,0,3.26,,,,0,,,,,,,https://rareregalia.com/wp-content/uploads/2025/07/17002-R3.jpg,,,PARENT-11-17002,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 3.264343999999999g | Gold Purity: 18kt | Diamond Weight: 0.97 ct | Diamond Count: 28 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-12-17005,Infinity Spark Hoop Earrings,1,0,visible,Category: Earrings | 0.4 ct diamonds | 4.5482272g gold,<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.4 carats<br>• Count: 30 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 4.5482272 grams<br>• Purity: 18kt<br>,,,taxable,,1,,,0,0,4.55,,,,1,,,,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,https://rareregalia.com/wp-content/uploads/2025/07/17005-R3.jpg,,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 4.5482272g | Gold Purity: 18kt | Diamond Weight: 0.4 ct | Diamond Count: 30 | Diamond Shapes: nan | Diamond Quality: nan
variation,17005-Ro-19,Infinity Spark Hoop Earrings - Rose Gold 14kt,1,0,visible,,Metal: Rose Gold 14kt | Gold Weight: 4.5482272g | Diamond Weight: 0.4 carats,,,taxable,,1,10,2,0,0,4.55,,,,0,,,,,,,https://rareregalia.com/wp-content/uploads/2025/07/17005-R3.jpg,,,PARENT-12-17005,,,,,,0,Metal Type,Rose Gold,0,1,,Metal Karat,14kt,0,1,,,,0,1,,Style Number: nan | Gold Weight: 4.5482272g | Gold Purity: 18kt | Diamond Weight: 0.4 ct | Diamond Count: 30 | Diamond Shapes: nan | Diamond Quality: nan
variable,PARENT-13-17007,GlowVault Huggie Earrings,1,0,visible,Category: Earrings | 0.31 ct diamonds | 3.100436g gold,<br><br><strong>Diamond Details:</strong><br>• Total Weight: 0.31 carats<br>• Count: 16 diamonds<br>• Shapes: nan<br>• Quality: nan<br><br><br><strong>Gold Specifications:</strong><br>• Weight: 3.100436 grams<br>• Purity: 18kt<br>,,,taxable,,1,,,0,0,3.1,,,,1,,,,Earrings,"nan Quality, Earrings, Rose Gold, nan Diamond",,https://rareregalia.com/wp-content/uploads/2025/07/17007-R3.jpg,,,,,,,,,0,Metal Type,Rose Gold,1,1,Rose Gold,Metal Karat,14kt,1,1,14kt,,,0,1,,Style Number: nan | Gold Weight: 3.100436g | Gold Purity: 18kt | Diamond Weight: 0.31 ct | Diamond Count: 16 | Diamond Shapes: nan | Diamond Quality: nan
