Style no,18kt Gold wt (gms),Diamond wt (Ct),Unnamed: 3,Round (mm),Count,Oval (mm),Count.1,Marquise (mm),Count.2,Pear (mm),Count.3,Baguette (mm),Count.4,Unnamed: 14,US Expansion - Batch 13
DOC - P 1201,1.61,0.14,,1.2,21.0,,,,,,,,,,
DOC - P 1202,2.5,0.1,,3.0,1.0,,,,,,,,,,
DOC - P 1203,1.5,0.12,,1.7,1.0,,,,,,,,,,
,,,,3.0,1.0,,,,,,,,,,
DOC - P 1204,1.55,0.07,,1.4,7.0,,,,,,,,,,
DOC - P 1205,1.96,0.06,,1.2,12.0,,,,,,,,,,
DOC - P 1206,3.02,0.1,,3.0,1.0,,,,,,,,,,
DOC - P 1207,2.43,0.34,,3.0,1.0,,,,,,,,,,
,,,,1.2,36.0,,,,,,,,,,
DOC - P 1208,2.75,0.26,,3.0,1.0,,,,,,,,,,
,,,,1.2,25.0,,,,,,,,,,
DOC - P 1209,2.13,0.04,,2.2,1.0,,,,,,,,,,
DOC - P 1210,1.67,0.1,,3.0,1.0,,,,,,,,,,
DOC - P 1211,2.31,0.07,,1.8,3.0,,,,,,,,,,
DOC - P 1212,3.31,0.18,,1.1,2.0,,,,,,,,,,
,,,,1.0,2.0,,,,,,,,,,
,,,,1.3,2.0,,,,,,,,,,
,,,,1.5,4.0,,,,,,,,,,
,,,,1.6,4.0,,,,,,,,,,
,,,,1.2,2.0,,,,,,,,,,
,,,,1.4,2.0,,,,,,,,,,
DOC - P 1213,2.32,0.14,,1.7,4.0,,,,,,,,,,
,,,,1.4,4.0,,,,,,,,,,
,,,,1.5,2.0,,,,,,,,,,
DOC - P 1214,2.45,0.02,,1.3,3.0,,,,,,,,,,
DOC - P 1215,1.49,0.0,,,,,,,,,,,,,
DOC - P 1216,2.28,0.0,,,,,,,,,,,,,
DOC - P 1217,2.72,0.0,,,,,,,,,,,,,
DOC - P 1218,2.96,0.12,,1.6,1.0,,,,,,,,,,
,,,,3.0,1.0,,,,,,,,,,
DOC - P 1219,2.07,0.22,,3.8,1.0,,,,,,,,,,
,,,,1.5,1.0,,,,,,,,,,
DOC - P 1220,3.06,0.15,,2.0,5.0,,,,,,,,,,
DOC - P 1221,3.32,0.06,,1.4,2.0,,,,,,,,,,
,,,,1.3,1.0,,,,,,,,,,
,,,,1.2,2.0,,,,,,,,,,
,,,,1.1,4.0,,,,,,,,,,
DOC - P 1222,3.68,0.16,,1.3,20.0,,,,,,,,,,
DOC - P 1223,3.52,0.24,,1.1,48.0,,,,,,,,,,
DOC - P 1224,2.25,0.22,,1.0,31.0,,,,,,,,,,
,,,,1.3,4.0,,,,,,,,,,
,,,,1.4,2.0,,,,,,,,,,
,,,,1.5,4.0,,,,,,,,,,
DOC - P 1225,2.8,0.09,,1.4,9.0,,,,,,,,,,
DOC - P 1226,1.58,0.18,,1.1,36.0,,,,,,,,,,
DOC - P 1227,2.03,0.55,,1.2,4.0,6x4,1.0,,,,,,,,
,,,,1.0,4.0,,,,,,,,,,
,,,,1.1,2.0,,,,,,,,,,
,,,,3.3,1.0,,,,,,,,,,
DOC - P 1228,2.67,0.51,,2.5,5.0,,,,,,,,,,
,,,,1.1,32.0,,,,,,,,,,
,,,,1.0,15.0,,,,,,,,,,
,,,,1.2,1.0,,,,,,,,,,
DOC - P 1229,2.24,0.29,,2.5,1.0,,,,,,,,,,
,,,,1.3,32.0,,,,,,,,,,
DOC - P 1230,2.93,0.34,,2.5,1.0,,,,,,,,,,
,,,,2.3,2.0,,,,,,,,,,
,,,,1.1,20.0,,,,,,,,,,
,,,,1.0,11.0,,,,,,,,,,
,,,,1.2,5.0,,,,,,,,,,
,,,,1.3,2.0,,,,,,,,,,
DOC - P 1231,1.69,0.14,,3.0,1.0,,,,,,,,,,
,,,,1.7,2.0,,,,,,,,,,
DOC - P 1232,2.77,0.29,,1.3,18.0,,,,,,,,,,
,,,,1.1,4.0,,,,,,,,,,
,,,,1.2,6.0,,,,,,,,,,
,,,,1.4,8.0,,,,,,,,,,
DOC - P 1233,1.7,0.83,,2.5,1.0,7x5,1.0,,,,,,,,
,,,,1.1,2.0,,,,,,,,,,
,,,,1.2,12.0,,,,,,,,,,
,,,,1.4,2.0,,,,,,,,,,
DOC - P 1234,5.07,0.97,,1.2,2.0,,,5x2.5,2.0,,,,,,
,,,,1.4,3.0,,,7x3.5,2.0,,,,,,
,,,,1.55,4.0,,,,,,,,,,
,,,,1.5,4.0,,,,,,,,,,
,,,,2.0,2.0,,,,,,,,,,
DOC - P 1235,2.88,0.32,,1.0,8.0,,,,,,,,,,
,,,,1.1,6.0,,,,,,,,,,
,,,,1.2,16.0,,,,,,,,,,
,,,,1.3,13.0,,,,,,,,,,
,,,,1.4,5.0,,,,,,,,,,
DOC - P 1236,2.16,0.18,,2.0,6.0,,,,,,,,,,
DOC - P 1237,1.95,0.03,,1.2,2.0,,,,,,,,,,
,,,,1.1,4.0,,,,,,,,,,
DOC - P 1238,3.14,1.17,,2.2,2.0,8x6,1.0,,,,,,,,
DOC - P 1239,1.84,0.08,,1.4,6.0,,,,,,,,,,
,,,,1.7,1.0,,,,,,,,,,
DOC - P 1240,2.22,0.09,,1.6,6.0,,,,,,,,,,
DOC - P 1241,2.53,0.18,,1.3,2.0,,,,,,,,,,
,,,,1.4,4.0,,,,,,,,,,
,,,,1.5,10.0,,,,,,,,,,
DOC - P 1242,1.78,0.24,,2.2,1.0,,,,,,,,,,
,,,,1.3,24.0,,,,,,,,,,
DOC - P 1243,1.87,0.19,,1.3,16.0,,,,,,,,,,
,,,,2.5,1.0,,,,,,,,,,
DOC - P 1244,1.3,0.3,,3.0,3.0,,,,,,,,,,
DOC - P 1245,3.83,0.34,,1.3,31.0,,,,,,,,,,
,,,,1.5,9.0,,,,,,,,,,
DOC - P 1246,2.16,0.25,,3.0,1.0,,,,,,,,,,
,,,,1.5,12.0,,,,,,,,,,
DOC - P 1247,1.91,0.68,,2.0,1.0,7x5,1.0,,,,,,,,
DOC - P 1248,2.66,0.07,,1.1,14.0,,,,,,,,,,
DOC - P 1249,2.95,0.12,,1.2,22.0,,,,,,,,,,
DOC - P 1250,3.22,0.24,,4.0,1.0,,,,,,,,,,
DOC - P 1251,1.4,0.13,,1.4,4.0,,,,,,,,,,
,,,,1.2,4.0,,,,,,,,,,
,,,,2.5,1.0,,,,,,,,,,
DOC - P 1252,2.24,0.14,,1.4,2.0,,,,,,,,,,
,,,,1.5,2.0,,,,,,,,,,
,,,,1.2,8.0,,,,,,,,,,
,,,,1.1,8.0,,,,,,,,,,
DOC - P 1253,1.16,0.17,,2.5,1.0,,,,,,,,,,
,,,,2.2,3.0,,,,,,,,,,
DOC - P 1254,4.14,0.2,,1.6,8.0,,,,,,,,,,
,,,,1.7,4.0,,,,,,,,,,
DOC - P 1255,0.94,0.24,,4.0,1.0,,,,,,,,,,
DOC - P 1256,2.19,0.1,,3.0,1.0,,,,,,,,,,
DOC - P 1257,0.91,0.05,,1.4,2.0,,,,,,,,,,
