Style no,"Single Linking piece 
18kt Gold wt (gms)","Single Linking piece 
Diamond wt (Ct)","Single linking piece 
length(mm)","Single Linking piece 
Volume",Height (mm),Width (mm),"No of Linking 
pieces","Length of Full 
Bracelet (mm)","Full Bracelet 
18kt Gold wt(gms)","Full Bracelet 
Diamond wt (Ct)","Volume of Full 
Bracelet","Volume of Full 
Bracelet 
x 0.0157 (Casting wt)","20 Perfect of 
Full Bracelet volume",Round (mm),Count,Marquise (mm),Count.1,Pear (mm),Count.2,Oval (mm),Count.3,Baguette (mm),Count.4,Heart (mm),Count.5
TB-14001,,0.057,15.66,63.04,2.35,,11.0,172.26,8.709606399999998,0.627,693.4399999999999,10.887007999999998,2.1774015999999996,1.6,3.0,,,,,,,,,,
TB-14002,,0.115,7.07,35.78,3.85,,38.0,268.66,17.077078399999998,4.37,1359.64,21.346348,4.2692696,1.7,5.0,,,,,,,,,,
TB-14003,,0.091,6.2,39.05,4.1,6.2,30.0,186.0,14.71404,2.73,1171.5,18.39255,3.67851,1.0,14.0,,,,,,,,,,
,,,,,,,,,,,,,,2.2,1.0,,,,,,,,,,
TB-14004,,0.023,3.15,13.41,2.9,,60.0,189.0,10.105775999999999,1.38,804.6,12.632219999999998,2.5264439999999997,1.7,1.0,,,,,,,,,,
TB-14005,,0.216,15.65,82.7,2.95,,12.0,187.8,12.464544,2.592,992.4000000000001,15.580680000000001,3.1161360000000005,1.5,5.0,,,,,,,,,,
,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,
TB-14006,,0.023,7.5,65.7,3.9,7.7,25.0,187.5,20.629799999999996,0.575,1642.5,25.787249999999997,5.15745,1.7,1.0,,,,,,,,,,
TB-14007,,0.088,15.83,149.04,3.15,8.17,12.0,189.96,22.4633088,1.056,1788.48,28.079136,5.6158272,1.3,8.0,,,,,,,,,,
,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,
TB-14008,,0.069,4.5,26.91,3.1,4.9,42.0,189.0,14.195563199999999,2.898,1130.22,17.744453999999998,3.5488907999999997,1.7,3.0,,,,,,,,,,
TB-14009,,0.131,9.5,35.06,3.1,3.5,20.0,190.0,8.807072,2.62,701.2,11.00884,2.201768,1.7,1.0,,,,,,,,,,
,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,
TB-14010,,0.15,8.22,48.94,3.11,5.93,22.0,180.84,13.523100799999998,3.3,1076.6799999999998,16.903875999999997,3.3807751999999995,,,5x2.5,1.0,,,,,,,,
,,,,,,,,,,,,,,,,4x2,1.0,,,,,,,,
TB-14011,,0.023,3.0,14.44,2.65,3.0,63.0,189.0,11.426083199999997,1.449,909.7199999999999,14.282603999999997,2.8565207999999997,1.7,1.0,,,,,,,,,,
TB-14012,,0.046,6.48,60.6,4.3,6.48,29.0,187.92000000000002,22.072944,1.334,1757.4,27.591179999999998,5.518236,2.2,1.0,,,,,,,,,,
TB-14013,,0.023,7.4,50.75,3.65,5.27,25.0,185.0,15.9355,0.575,1268.75,19.919375,3.983875,1.7,1.0,,,,,,,,,,
TB-14014,,0.026,4.45,22.94,3.45,4.6,43.0,191.35,12.3894352,1.1179999999999999,986.4200000000001,15.486794,3.0973588000000003,1.8,1.0,,,,,,,,,,
TB-14015,,0.023,3.0,19.83,3.6,2.75,63.0,189.0,15.691082399999999,1.449,1249.29,19.613853,3.9227705999999998,1.7,1.0,,,,,,,,,,
TB-14016,,0.016,3.9,19.37,2.58,3.54,49.0,191.1,11.9210728,0.784,949.13,14.901340999999999,2.9802682,1.6,1.0,,,,,,,,,,
TB-14017,,0.052,4.0,29.63,3.1,3.9,45.0,180.0,16.746875999999997,2.34,1333.35,20.933594999999997,4.186718999999999,1.4,1.0,,,,,,,,,,
,,,,,,,,,,,,,,1.2,6.0,,,,,,,,,,
TB-14018,,0.023,2.75,13.45,3.02,3.7,65.0,178.75,10.98058,1.4949999999999999,874.25,13.725724999999999,2.745145,1.7,1.0,,,,,,,,,,
TB-14019,,0.019,6.12,46.65,4.2,6.04,28.0,171.36,16.405872,0.532,1306.2,20.50734,4.101468,1.6,1.0,,,,,,,,,,
TB-14020,,0.086,6.88,51.25,3.5,6.88,27.0,185.76,17.3799,2.3219999999999996,1383.75,21.724874999999997,4.344975,1.3,1.0,,,,,,,,,,
,,,,,,,,,,,,,,1.6,4.0,,,,,,,,,,
TB-14021,,0.055,21.5,90.35,2.75,3.99,9.0,193.5,10.213163999999999,0.495,813.15,12.766454999999999,2.5532909999999998,1.5,2.0,,,,,,,,,,
,,,,,,,,,,,,,,1.8,1.0,,,,,,,,,,
TB-14022,,0.138,4.75,33.94,3.71,5.17,40.0,190.0,17.051455999999995,5.5200000000000005,1357.6,21.314319999999995,4.2628639999999995,1.6,6.0,,,,,,,,,,
,,,,,,,,,,,,,,1.7,1.0,,,,,,,,,,
TB-14023,,0.143,10.56,98.75,3.94,5.5,18.0,190.08,22.3254,2.574,1777.5,27.90675,5.5813500000000005,2.0,4.0,,,,,,,,,,
TB-14024,,0.107,21.0,89.37,2.96,6.15,9.0,189.0,10.1023848,0.963,804.33,12.627981,2.5255962000000003,1.6,1.0,,,,,,,,,,
,,,,,,,,,,,,,,1.5,6.0,,,,,,,,,,
TB-14025,,0.429,12.3,150.1,5.39,12.3,14.0,172.20000000000002,26.393583999999997,6.006,2101.4,32.99198,6.598396,2.0,12.0,,,,,,,,,,
TB-14026,,0.108,12.67,69.41,3.6,4.47,15.0,190.05,13.076843999999998,1.6199999999999999,1041.1499999999999,16.346054999999996,3.2692109999999994,3.0,1.0,,,,,,,,,,
TB-14027,,0.55,,,3.51,,1.0,,10.1423256,0.53,807.51,12.677907,2.5355814,3.5,1.0,,,,,,,,,,
,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,
,,,,,,,,,,,,,,2.5,2.0,,,,,,,,,,
TB-14028,,0.246,19.0,94.5,3.91,3.25,10.0,190.0,11.8692,2.46,945.0,14.8365,2.9673,3.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,2.5,2.0,,,,,,,,,,
TB-14029,,0.074,13.57,82.06,3.05,3.5,14.0,189.98000000000002,14.429430400000001,1.036,1148.8400000000001,18.036788,3.6073576000000003,2.6,1.0,,,,,,,,,,
TB-14030,,0.058,5.48,53.73,3.58,5.48,34.0,186.32000000000002,22.944859199999996,1.9720000000000002,1826.82,28.681073999999995,5.736214799999999,2.4,1.0,,,,,,,,,,
TB-14031,,0.078,14.56,103.75,4.05,4.84,13.0,189.28,16.9403,1.014,1348.75,21.175375,4.235075,2.7,1.0,,,,,,,,,,
TB-14032,,0.058,11.18,67.16,3.95,3.95,17.0,190.06,14.340003199999998,0.9860000000000001,1141.72,17.925003999999998,3.5850007999999995,2.4,1.0,,,,,,,,,,
TB-14033,,0.108,12.67,70.66,3.5,3.27,15.0,190.05,13.312343999999996,1.6199999999999999,1059.8999999999999,16.640429999999995,3.328085999999999,3.0,1.0,,,,,,,,,,
TB-14034,,0.031,5.43,36.74,3.54,5.4,35.0,190.04999999999998,16.150904,1.085,1285.9,20.18863,4.037726,1.9,1.0,,,,,,,,,,
TB-14035,,0.078,14.62,78.56,3.81,4.07,13.0,190.06,12.827276799999998,1.014,1021.28,16.034095999999998,3.2068192,2.7,1.0,,,,,,,,,,
TB-14036,,0.171,21.11,108.51,3.33,3.11,9.0,189.99,12.265970399999999,1.5390000000000001,976.59,15.332462999999999,3.0664926,2.2,2.0,,,,,,,,,,
,,,,,,,,,,,,,,2.7,1.0,,,,,,,,,,
TB-14037,,0.126,5.71,46.4,5.01,7.82,30.0,171.3,17.48352,3.7800000000000002,1392.0,21.8544,4.37088,1.1,13.0,,,3x2,1.0,,,,,,
TB-14038,,0.221,12.82,88.01,4.04,7.54,14.0,179.48000000000002,15.475678400000001,3.094,1232.14,19.344598,3.8689196000000003,0.9,32.0,,,,,4x3,1.0,,,,
,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
TB-14039,,0.077,7.61,41.63,4.0,5.9,24.0,182.64000000000001,12.5489472,1.8479999999999999,999.1200000000001,15.686184,3.1372368,2.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,0.9,14.0,,,,,,,,,,
TB-14040,,0.095,9.05,49.55,3.7,4.24,21.0,190.05,13.069307999999998,1.995,1040.55,16.336634999999998,3.267327,2.9,1.0,,,,,,,,,,
TB-14041,,0.246,14.62,85.26,3.9,3.25,13.0,190.06,13.9212528,3.198,1108.38,17.401566,3.4803132,3.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,2.5,2.0,,,,,,,,,,
TB-14042,,0.092,8.64,50.52,3.23,3.96,22.0,190.08,13.959686399999999,2.024,1111.44,17.449607999999998,3.4899215999999997,1.7,4.0,,,,,,,,,,
TB-14043,,0.201,14.53,75.12,3.92,4.6,13.0,188.89,12.265593599999999,2.613,976.5600000000001,15.331992,3.0663984,3.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,2.2,2.0,,,,,,,,,,
TB-14044,,0.046,7.92,65.87,3.65,3.65,24.0,190.07999999999998,19.8558528,1.104,1580.88,24.819816,4.9639632,2.2,1.0,,,,,,,,,,
TB-14045,,0.078,14.56,81.97,4.0,4.91,13.0,189.28,13.384061599999999,1.014,1065.61,16.730076999999998,3.3460153999999998,2.7,1.0,,,,,,,,,,
TB-14046,,0.069,7.92,41.7,3.36,3.63,24.0,190.07999999999998,12.570048,1.6560000000000001,1000.8000000000001,15.71256,3.142512,2.5,1.0,,,,,,,,,,
TB-14047,,0.324,19.0,130.7,3.47,3.27,10.0,190.0,16.41592,3.24,1307.0,20.5199,4.10398,3.0,3.0,,,,,,,,,,
TB-14048,,0.126,7.8,46.4,4.96,5.7,24.0,187.2,13.986816,3.024,1113.6,17.48352,3.496704,1.1,13.0,,,3x2,1.0,,,,,,
TB-14049,,0.185,7.16,50.01,3.67,5.11,26.0,186.16,16.3312656,4.81,1300.26,20.414081999999997,4.0828164,2.2,1.0,,,,,,,,,,
,,,,,,,,,,,,,,1.7,1.0,,,,,,,,,,
,,,,,,,,,,,,,,1.6,6.0,,,,,,,,,,
TB-14050,,0.1705,7.84,66.65,3.73,4.57,24.0,188.16,20.090976,4.0920000000000005,1599.6000000000001,25.11372,5.022744,1.1,4.0,,,,,,,2.4x1.4,3.0,,
,,,,,,,,,,,,,,1.7,1.0,,,,,,,1.8x1.1,2.0,,
TB-14051,,0.281,11.94,95.67,4.17,6.57,15.0,179.1,18.024227999999997,4.215000000000001,1435.05,22.530284999999996,4.506056999999999,1.3,8.0,3.5x1.75,4.0,,,,,,,,
,,,,,,,,,,,,,,2.5,1.0,,,,,,,,,,
TB-14052,,0.084,5.35,47.39,3.4,6.93,35.0,187.25,20.832644,2.9400000000000004,1658.65,26.040805,5.2081610000000005,1.2,3.0,,,,,,,,,,
,,,,,,,,,,,,,,1.3,4.0,,,,,,,,,,
,,,,,,,,,,,,,,1.4,2.0,,,,,,,,,,
TB-14053,,0.048,10.2,52.47,3.46,4.98,18.0,183.6,11.862417599999999,0.864,944.46,14.828021999999999,2.9656044,1.6,3.0,,,,,,,,,,
TB-14054,,0.025,1.65,7.41,2.59,3.92,105.0,173.25,9.772307999999999,2.625,778.0500000000001,12.215385,2.443077,,,3x1.5,1.0,,,,,,,,
TB-14055,,0.019,10.85,57.27,4.17,6.26,26.0,282.09999999999997,18.702091199999998,0.494,1489.02,23.377613999999998,4.6755227999999995,1.6,1.0,,,,,,,,,,
TB-14056,,0.775,10.81,54.27,3.5,5.26,17.0,183.77,11.5877304,13.175,922.59,14.484663,2.8969326,2.1,3.0,,,7x5,1.0,,,,,,
TB-14057,,0.198,27.15,127.82,3.41,7.29,7.0,190.04999999999998,11.237934399999999,1.3860000000000001,894.74,14.047417999999999,2.8094836,1.3,17.0,,,,,,,,,,
,,,,,,,,,,,,,,1.1,2.0,,,,,,,,,,
,,,,,,,,,,,,,,1.2,3.0,,,,,,,,,,
TB-14058,,0.092,10.0,71.48,3.5,6.08,19.0,190.0,17.0579872,1.748,1358.1200000000001,21.322484,4.2644968,1.5,3.0,,,,,,,,,,
,,,,,,,,,,,,,,1.6,2.0,,,,,,,,,,
,,,,,,,,,,,,,,1.3,1.0,,,,,,,,,,
TB-14059,,0.186,15.85,124.91,3.81,9.53,12.0,190.2,18.8264352,2.232,1498.92,23.533044,4.706608800000001,1.5,2.0,,,,,,,,,,
,,,,,,,,,,,,,,1.3,12.0,,,,,,,,,,
,,,,,,,,,,,,,,1.2,2.0,,,,,,,,,,
,,,,,,,,,,,,,,1.4,2.0,,,,,,,,,,
TB-14060,,0.334,19.0,106.82,5.33,9.25,10.0,190.0,13.416591999999998,3.3400000000000003,1068.1999999999998,16.770739999999996,3.3541479999999995,1.6,10.0,3x1.5,4.0,,,,,,,,
,,,,,,,,,,,,,,2.3,1.0,,,,,,,,,,
TB-14061,,0.083,18.76,107.19,3.75,8.13,10.0,187.60000000000002,13.463064,0.8300000000000001,1071.9,16.82883,3.3657660000000003,1.2,1.0,,,,,,,,,,
,,,,,,,,,,,,,,1.1,15.0,,,,,,,,,,
TB-14062,,0.071,2.46,12.03,3.25,3.25,74.0,182.04,11.181163199999997,5.254,890.2199999999999,13.976453999999997,2.7952907999999996,2.0,1.0,,,,,,,,,,
TB-14063,,0.065,15.83,74.16,3.43,4.8,12.0,189.96,11.177395199999998,0.78,889.92,13.971743999999997,2.7943488,1.5,2.0,,,,,,,,,,
,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
TB-14064,,0.143,15.83,64.09,3.21,2.95,12.0,189.96,9.659644799999999,1.7159999999999997,769.08,12.074556,2.4149112,2.0,4.0,,,,,,,,,,
TB-14065,,0.145,11.88,100.09,3.96,7.18,15.0,178.20000000000002,18.856956,2.175,1501.3500000000001,23.571195,4.714239,1.7,4.0,,,,,,,,,,
,,,,,,,,,,,,,,1.2,1.0,,,,,,,,,,
,,,,,,,,,,,,,,2.2,1.0,,,,,,,,,,
TB-14066,,0.166,21.11,74.6,3.28,4.52,9.0,189.99,8.432784,1.494,671.4,10.54098,2.108196,2.9,1.0,,,,,,,,,,
,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
TB-14067,,4.512,17.27,67.41,3.59,4.52,11.0,189.97,9.3133656,49.632,741.51,11.641706999999998,2.3283414,2.2,1.0,,,,,6x4,1.0,,,,
TB-14068,,0.095,9.06,42.29,3.77,,21.0,190.26000000000002,11.1544104,1.995,888.09,13.943012999999999,2.7886026,2.9,1.0,,,,,,,,,,
TB-14069,,0.046,2.47,14.46,3.0,3.68,77.0,190.19000000000003,13.984555199999999,3.542,1113.42,17.480694,3.4961388,2.2,1.0,,,,,,,,,,
TB-14070,,0.019,5.28,29.17,3.76,4.01,36.0,190.08,13.1895072,0.6839999999999999,1050.1200000000001,16.486884,3.2973768000000003,1.6,1.0,,,,,,,,,,
TB-14071,,0.105,11.88,51.25,3.5,3.32,16.0,190.08,10.299199999999999,1.68,820.0,12.873999999999999,2.5747999999999998,1.7,3.0,,,,,,,,,,
,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
TB-14072,,0.09,7.92,50.25,3.12,5.61,24.0,190.07999999999998,15.147359999999997,2.16,1206.0,18.934199999999997,3.7868399999999998,1.7,2.0,,,,,,,,,,
,,,,,,,,,,,,,,1.5,3.0,,,,,,,,,,
TB-14073,,0.046,5.59,25.35,3.12,4.5,35.0,195.65,11.14386,1.6099999999999999,887.25,13.929825,2.785965,2.0,1.0,,,,,,,,,,
TB-14074,,2.873,26.47,95.14,2.89,7.93,7.0,185.29,8.364708799999999,20.111,665.98,10.455886,2.0911772,1.7,2.0,,,,,6x4,1.0,,,,
TB-14075,,0.108,23.75,127.54,2.52,5.63,8.0,190.0,12.815219199999998,0.864,1020.32,16.019023999999998,3.2038048,2.2,1.0,,,,,,,,,,
,,,,,,,,,,,,,,1.4,5.0,,,,,,,,,,
TB-14076,,0.176,15.83,139.23,2.52,,12.0,189.96,20.984745599999997,2.112,1670.7599999999998,26.230931999999996,5.246186399999999,1.3,6.0,,,,,,,,,,
,,,,,,,,,,,,,,1.5,4.0,,,,,,,,,,
,,,,,,,,,,,,,,1.1,4.0,,,,,,,,,,
,,,,,,,,,,,,,,1.2,2.0,,,,,,,,,,
,,,,,,,,,,,,,,1.4,2.0,,,,,,,,,,
TB-14077,,0.023,12.67,64.27,4.02,,15.0,190.05,12.108467999999998,0.345,964.05,15.135584999999997,3.0271169999999996,1.7,1.0,,,,,,,,,,
TB-14078,,0.046,2.6,15.48,3.25,,73.0,189.8,14.193302399999999,3.358,1130.04,17.741628,3.5483256,2.2,1.0,,,,,,,,,,
TB-14079,,0.045,10.56,41.19,3.28,,18.0,190.08,9.3122352,0.8099999999999999,741.42,11.640293999999999,2.3280588,1.7,1.0,,,,,,,,,,
,,,,,,,,,,,,,,1.1,2.0,,,,,,,,,,
,,,,,,,,,,,,,,1.4,1.0,,,,,,,,,,
TB-14080,,0.06,13.57,61.67,3.89,,14.0,189.98000000000002,10.844052799999998,0.84,863.38,13.555065999999998,2.7110132,1.2,9.0,,,,,,,,,,
TB-14081,,0.069,3.8,21.85,3.12,,50.0,190.0,13.721799999999998,3.45,1092.5,17.15225,3.43045,1.7,3.0,,,,,,,,,,
