SKU Code,Diamond Size(mm),Diamond Count,Diamond (Baguette),Diamond Count.1,Diamond (Pear),Diamond Count.2,Diamond (Princess),Diamond Count.3,Diamond (Cushion),Diamond Count.4,Diamond (Oval),Diamond Count.5,Diamond (Emerald),Diamond Count.6,Diamond (Heart),Diamond Count.7,Diamond (Radiant),Diamond Count.8,Diamond (Marquise),Diamond Count.9,Length(mm),Width(mm),Diamond Wt,Volume,Casting Gold Wt(18kt),Est.Final Gold Wt(18kt)
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15001,6.5,1.0,,,,,,,,,,,,,,,,,,,11.13,11.64,1.03,146.91,2.306487,1.8451896
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15002,6.5,1.0,,,,,,,,,,,,,,,,,,,9.1,6.58,1.03,90.03,1.413471,1.1307768
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15003,5.8,1.0,,,,,,,,,,,,,,,,,,,20.24,9.16,0.97,178.35,2.800095,2.240076
,1.3,29.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15004,4.1,2.0,,,,,,,,,,,,,,,,,,,,14.57,1.04,79.64,1.250348,1.0002784
,5.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15005,1.2,29.0,,,,,,,,,,,,,,,,,,,20.29,11.75,0.92,172.29,2.704953,2.1639624
,5.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15006,2.3,5.0,,,,,,,,,,,,,,,,,,,20.7,,0.23,84.71,1.329947,1.0639576
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15007,6.5,1.0,,,,,,,,,,,,,,,,,,,22.3,9.33,1.03,171.7,2.69569,2.156552
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15008,,,3.5*1.8,3.0,,,,,,,,,,,,,,,,,,15.27,0.24,46.9,0.73633,0.589064
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15009,2.3,10.0,,,,,,,,,,,,,,,,,,,9.95,10.64,1.17,135.31,2.124367,1.6994936
,5.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15010,1.1,6.0,,,,,,,,,,,,,,,,,,,11.25,11.25,1.0,193.55,3.038735,2.430988
,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
,1.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,
,1.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,
,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15011,5.8,1.0,,,,,,,,,,,,,,,,,,,19.75,9.44,0.73,147.87,2.321559,1.8572472
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15012,6.2,1.0,,,,,,,,,,,,,,,,,,,14.59,10.22,1.03,117.18,1.839726,1.4717808
,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
,1.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,
,1.3,8.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15013,5.8,1.0,,,,,,,,,,,,,,,,,,,12.0,12.0,0.73,108.55,1.704235,1.363388
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15014,1.3,2.0,,,,,,,,,,,,,,,,,,,22.27,12.29,0.93,177.19,2.781883,2.2255064
,1.4,24.0,,,,,,,,,,,,,,,,,,,,,,,,
,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,5.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15015,6.5,1.0,,,,,,,,,,,,,,,,,,,12.6,11.32,1.03,147.25,2.311825,1.84946
,,,,,,,,,,,,,,,,,,,,,,,,,,
