SKU Code,Diamond Size(mm),Diamond Count,Diamond Size (Cushion),Diamond Count.1,Diamond Size (Princess),Diamond Count.2,Diamond Size (Baguette),Diamond Count.3,Diamond Size (Marquise),Diamond Count.4,Diamond Size (Radiant),Diamond Count.5,Diamond Size (Heart),Diamond Count.6,Diamond Size (Pear),Diamond Count.7,Diamond Size (Emerald),Diamond Count.8,Diamond Size (Oval),Diamond Count.9,Length(mm),Width(mm),Diamond Wt.(Cts),Volume,Casting wt.,0.2,18KT wt.(Gm)
ER-16001,5.0,2.0,,,,,,,,,,,,,,,,,,,8.72,9.07,0.94,180.39,2.8321229999999997,0.5664246,2.2656984
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16002,5.0,2.0,,,,,,,,,,,,,,,,,,,7.12,5.08,0.94,101.22,1.589154,0.3178308,1.2713231999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16003,1.0,46.0,,,,,,,,,,,,,,,,,,,23.65,7.17,0.92,270.5,4.246849999999999,0.84937,3.3974799999999994
,1.1,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
,4.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16004,3.3,4.0,,,,,,,,,,,,,,,,,,,10.56,4.06,1.02,123.84,1.9442879999999998,0.38885759999999997,1.5554303999999999
,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16005,1.1,60.0,,,,,,,,,,,,,,,,,,,24.32,10.76,0.88,343.72,5.3964039999999995,1.0792808,4.317123199999999
,4.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16006,2.3,10.0,,,,,,,,,,,,,,,,,,,20.48,4.26,0.46,171.82,2.6975739999999995,0.5395148,2.1580591999999994
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16007,5.0,2.0,,,,,,,,,,,,,,,,,,,14.77,7.59,0.94,247.37,3.8837089999999996,0.7767417999999999,3.1069671999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16008,,,,,,,3.50 * 1.80,6.0,,,,,,,,,,,,,12.55,1.97,0.48,99.58,1.5634059999999999,0.3126812,1.2507248
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16009,4.3,2.0,,,,,,,,,,,,,,,,,,,8.41,8.85,0.95,148.48,2.3311359999999994,0.4662271999999999,1.8649087999999996
,1.7,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16010,1.0,24.0,,,,,,,,,,,,,,,,,,,9.37,,0.97,286.47,4.497579,0.8995158000000001,3.5980632
,1.2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
,4.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16011,4.1,2.0,,,,,,,,,,,,,,,,,,,16.03,8.18,0.52,196.28,3.081596,0.6163192,2.4652768
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16012,1.1,8.0,,,,,,,,,,,,,,,,,,,8.7,,0.89,179.24,2.814068,0.5628136,2.2512543999999997
,1.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
,1.3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
,4.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16013,5.0,2.0,,,,,,,,,,,,,,,,,,,11.14,11.14,0.94,224.21,3.520097,0.7040194,2.8160776
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16014,1.1,10.0,,,,,,,,,,,,,,,,,,,18.47,10.18,0.88,259.35,4.071795,0.814359,3.2574359999999998
,1.2,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
,4.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16015,5.0,2.0,,,,,,,,,,,,,,,,,,,10.0,8.76,0.94,165.86,2.604002,0.5208004,2.0832015999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16016,1.2,12.0,,,,,,,,,,,,,,,,,,,7.36,6.62,0.74,136.02,2.135514,0.42710280000000006,1.7084112
,1.6,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16017,1.0,4.0,,,,,,,,,,,,,,,,,,,35.18,8.8,0.9,454.17,7.130469,1.4260938,5.704375199999999
,1.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
,1.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
,1.3,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
,4.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16018,4.1,2.0,,,,,,,,,,,,,,,,,,,10.45,10.5,0.52,199.74,3.1359179999999998,0.6271836,2.5087344
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER-16019,1.1,66.0,,,,,,,,,,,,,,,,,,,18.79,8.31,0.92,283.43,4.449851,0.8899702,3.5598807999999997
,4.25,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
