SKU Code,Diamond Size(Round),Diamond Count(Round),Diamond Size(Baguette),Diamond Count(Baguette),Diamond Size(Marquise),Diamond Count(Marquise),Diamond Size(Pear),Diamond Count(Pear),Diamond Size(Heart),Diamond Count(Heart),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
ER-17051,1.0,172.0,,,,,,,,,20.61,5.68,0.64,299.0,4.694299999999999,0.9388599999999999,3.7554399999999992
,,,,,,,,,,,,,,,,,
ER-17052,1.0,142.0,,,,,,,,,13.39,16.86,0.53,391.05,6.139485,1.227897,4.911588
,,,,,,,,,,,,,,,,,
ER-17053,2.7,6.0,,,,,,,,,6.2,6.81,0.44,86.25,1.3541249999999998,0.270825,1.0833
,,,,,,,,,,,,,,,,,
ER-17054,,,3.4 * 1.6,4.0,,,,,,,9.63,9.46,0.96,163.77,2.571189,0.5142378,2.0569512
,,,3.4 * 1.8,10.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17055,2.7,6.0,,,,,,,,,10.0,3.3,0.44,113.9,1.78823,0.357646,1.430584
,,,,,,,,,,,,,,,,,
ER-17056,2.2,2.0,,,5 * 2.50,2.0,3.5 * 2.25,2,,,7.68,9.25,0.64,107.55,1.688535,0.337707,1.350828
,,,,,4 * 2,4.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17057,,,3.5 * 1.75,6.0,,,,,,,9.15,5.7,0.44,103.28,1.6214959999999998,0.3242992,1.2971967999999998
,,,,,,,,,,,,,,,,,
ER-17058,0.9,156.0,,,,,,,,,17.57,9.75,0.4,446.32,7.007223999999999,1.4014448,5.605779199999999
,,,,,,,,,,,,,,,,,
ER-17059,1.7,4.0,3 * 1.5,6.0,,,,,,,30.74,4.27,0.58,387.21,6.079196999999999,1.2158394,4.863357599999999
,1.3,22.0,2.5 * 1.25,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17060,1.0,22.0,,,,,,,,,21.47,18.54,0.36,439.68,6.902976,1.3805952000000001,5.5223808
,1.1,12.0,,,,,,,,,,,,,,,
,1.15,16.0,,,,,,,,,,,,,,,
,1.2,20.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17061,1.6,20.0,,,,,,,,,11.58,8.77,0.31,201.87,3.1693589999999996,0.6338718,2.5354871999999995
,,,,,,,,,,,,,,,,,
ER-17062,1.5,36.0,,,,,,,,,25.22,7.33,0.45,318.48,5.0001359999999995,1.0000272,4.0001088
,,,,,,,,,,,,,,,,,
ER-17063,3.3,2.0,,,,,,,,,14.98,3.53,0.27,252.78,3.9686459999999997,0.7937292,3.1749167999999997
,,,,,,,,,,,,,,,,,
ER-17064,0.9,2.0,,,,,,,,,18.0,6.37,0.17,263.12,4.130984,0.8261968,3.3047872
,1.1,2.0,,,,,,,,,,,,,,,
,1.2,24.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17065,1.3,18.0,,,,,,,,,15.31,5.32,0.15,412.74,6.480017999999999,1.2960036,5.1840144
,,,,,,,,,,,,,,,,,
ER-17066,1.4,26.0,,,,,,,,,31.17,,0.27,540.41,8.484436999999998,1.6968873999999996,6.787549599999998
,,,,,,,,,,,,,,,,,
ER-17067,1.7,2.0,,,,,,,,,15.36,6.89,0.23,195.63,3.0713909999999998,0.6142782,2.4571128
,1.3,16.0,,,,,,,,,,,,,,,
,1.2,10.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17068,1.0,52.0,,,,,,,,,13.91,12.34,0.3,394.29,6.190353,1.2380706000000001,4.9522824
,1.1,10.0,,,,,,,,,,,,,,,
,1.2,8.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17069,2.0,4.0,,,,,,,,,28.59,13.88,0.74,352.83,5.5394309999999995,1.1078862,4.431544799999999
,1.9,4.0,,,,,,,,,,,,,,,
,1.8,8.0,,,,,,,,,,,,,,,
,1.7,8.0,,,,,,,,,,,,,,,
,1.6,8.0,,,,,,,,,,,,,,,
,1.5,4.0,,,,,,,,,,,,,,,
,1.4,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17070,,,,,,,,,,,16.67,7.47,,213.65,3.3543049999999996,0.6708609999999999,2.6834439999999997
,,,,,,,,,,,,,,,,,
ER-17071,2.5,6.0,,,,,,,,,43.42,7.72,1.19,690.95,10.847915,2.1695830000000003,8.678332000000001
,2.4,4.0,,,,,,,,,,,,,,,
,2.2,4.0,,,,,,,,,,,,,,,
,2.1,4.0,,,,,,,,,,,,,,,
,2.0,4.0,,,,,,,,,,,,,,,
,1.9,4.0,,,,,,,,,,,,,,,
,1.7,6.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17072,1.0,2.0,,,,,,,,,15.86,4.69,0.18,277.41,4.3553370000000005,0.8710674000000002,3.4842696
,1.2,4.0,,,,,,,,,,,,,,,
,1.3,18.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17073,1.7,16.0,,,,,,,,,31.85,13.02,1.39,612.59,9.617663,1.9235326000000001,7.694130400000001
,1.6,48.0,,,,,,,,,,,,,,,
,1.5,28.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17074,2.0,6.0,,,,,,,,,8.69,11.55,0.5,231.35,3.6321949999999994,0.726439,2.9057559999999993
,2.2,8.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17075,1.0,100.0,,,,,,,,,12.77,15.22,0.37,483.36,7.5887519999999995,1.5177504,6.0710016
,,,,,,,,,,,,,,,,,
ER-17076,1.2,40.0,,,,,,,,,11.04,11.04,0.64,339.31,5.327166999999999,1.0654333999999999,4.2617335999999995
,3.7,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17077,2.1,2.0,,,,,,,,,6.66,8.65,0.23,155.83,2.446531,0.48930619999999997,1.9572247999999999
,1.8,4.0,,,,,,,,,,,,,,,
,1.7,4.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17078,1.5,2.0,,,,,,,,,13.62,4.42,0.19,97.95,1.537815,0.30756300000000003,1.230252
,1.4,6.0,,,,,,,,,,,,,,,
,1.3,10.0,,,,,,,,,,,,,,,
,1.2,2.0,,,,,,,,,,,,,,,
,1.1,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER-17079,1.7,2.0,,,,,,,,,14.92,9.56,0.2,155.02,2.433814,0.4867628,1.9470512
,1.1,12.0,,,,,,,,,,,,,,,
,1.05,2.0,,,,,,,,,,,,,,,
,1.0,16.0,,,,,,,,,,,,,,,
,0.9,6.0,,,,,,,,,,,,,,,
,0.8,8.0,,,,,,,,,,,,,,,
