SKU Code,Diamond Size(mm),Diamond Count,Diamond Size Gemstone (Pear),Diamond Count.1,Diamond Size (Heart ),Diamond Count.2,Diamond Size Gemstone (Marquise),Diamond Count.3,Length(mm),Width(mm),Diamond Wt.(Cts),Volume,Casting wt.,0.2,18KT wt.(Gm)
VL-18001,1.2,17.0,,,,,,,26.89,19.59,0.11,257.51,4.042907,0.8085814,3.2343255999999996
,,,,,,,,,,,,,,,
VL-18002,2.1,2.0,,,,,,,12.27,12.84,0.07,215.35,3.3809949999999995,0.676199,2.7047959999999995
,,,,,,,,,,,,,,,
VL-18003,2.0,3.0,,,,,,,15.58,14.94,0.09,100.7,1.58099,0.316198,1.264792
,,,,,,,,,,,,,,,
VL-18004,1.2,2.0,,,,,,,13.32,12.42,0.13,60.58,0.9511059999999999,0.19022119999999998,0.7608847999999999
,1.3,3.0,,,,,,,,,,,,,
,1.4,3.0,,,,,,,,,,,,,
,1.5,1.0,,,,,,,,,,,,,
,1.6,2.0,,,,,,,,,,,,,
,1.7,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18005,1.1,3.0,,,5*5,1.0,,,25.91,12.98,0.52,179.25,2.814225,0.562845,2.25138
,1.2,7.0,,,,,,,,,,,,,
,1.3,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18006,1.1,42.0,,,,,,,21.12,22.27,0.21,182.14,2.8595979999999996,0.5719196,2.2876784
,,,,,,,,,,,,,,,
VL-18007,1.3,6.0,,,,,,,15.98,16.74,0.06,148.8,2.33616,0.46723200000000004,1.868928
,1.4,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18008,1.4,1.0,,,,,,,11.24,19.96,0.01,114.27,1.7940389999999997,0.35880779999999995,1.4352311999999998
,,,,,,,,,,,,,,,
VL-18009,,,,,2.5,2.0,,,15.25,19.09,0.11,196.03,3.0776709999999996,0.6155341999999999,2.4621367999999997
,,,,,,,,,,,,,,,
VL-18010,1.0,2.0,,,,,,,6.38,27.91,0.14,178.05,2.795385,0.559077,2.236308
,1.6,4.0,,,,,,,,,,,,,
,1.5,2.0,,,,,,,,,,,,,
,1.3,4.0,,,,,,,,,,,,,
,1.4,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18011,1.5,9.0,,,,,,,10.98,22.44,0.11,177.77,2.7909889999999997,0.5581978,2.2327912
,,,,,,,,,,,,,,,
VL-18012,1.2,4.0,,,,,,,10.47,29.82,0.04,139.18,2.185126,0.4370252,1.7481008
,1.5,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18013,1.2,22.0,,,,,,,19.73,11.85,0.14,117.59,1.846163,0.3692326,1.4769304
,,,,,,,,,,,,,,,
VL-18014,1.4,5.0,5*3,1.0,,,,,15.84,27.34,0.24,140.52,2.206164,0.4412328,1.7649312
,1.2,3.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18015,2.2,1.0,,,,,,,11.97,31.41,0.08,161.27,2.531939,0.5063878,2.0255511999999998
,1.3,3.0,,,,,,,,,,,,,
,1.2,1.0,,,,,,,,,,,,,
,1.1,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18016,1.2,8.0,,,,,,,37.17,9.63,0.15,194.05,3.046585,0.609317,2.437268
,3.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18017,3.0,1.0,,,,,,,20.51,6.25,0.1,82.25,1.2913249999999998,0.25826499999999997,1.0330599999999999
,,,,,,,,,,,,,,,
VL-18018,3.0,1.0,,,,,,,21.28,20.7,0.1,194.31,3.050667,0.6101334,2.4405335999999997
,,,,,,,,,,,,,,,
VL-18019,1.5,1.0,,,,,,,22.24,9.54,0.01,83.7,1.31409,0.262818,1.051272
,,,,,,,,,,,,,,,
VL-18020,,,,,,,,,27.01,22.46,,237.11,3.7226269999999997,0.7445254,2.9781015999999996
,,,,,,,,,,,,,,,
VL-18021,,,,,6.5*6.5,1.0,,,19.04,7.07,0.97,111.63,1.7525909999999998,0.3505182,1.4020727999999998
,,,,,,,,,,,,,,,
VL-18022,1.6,2.0,,,,,,,22.08,23.84,0.15,250.89,3.9389729999999994,0.7877945999999999,3.1511783999999996
,1.0,1.0,,,,,,,,,,,,,
,1.1,4.0,,,,,,,,,,,,,
,1.2,15.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18023,1.1,30.0,,,,,,,20.66,20.38,0.15,160.47,2.519379,0.5038758,2.0155032
,,,,,,,,,,,,,,,
VL-18024,1.3,21.0,,,,,,,18.0,20.26,0.21,134.03,2.104271,0.42085419999999996,1.6834167999999998
,1.2,3.0,,,,,,,,,,,,,
,1.4,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18025,2.0,7.0,,,,,,,26.98,22.58,0.21,251.57,3.9496489999999995,0.7899297999999999,3.1597191999999996
,,,,,,,,,,,,,,,
VL-18026,1.5,32.0,,,,,,,15.02,18.01,0.4,269.63,4.233191,0.8466382,3.3865527999999996
,,,,,,,,,,,,,,,
VL-18027,1.2,63.0,,,,,,,21.29,22.23,0.42,234.05,3.674585,0.734917,2.939668
,1.1,1.0,,,,,,,,,,,,,
,1.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18028,1.0,2.0,,,6.7,1.0,,,17.38,18.28,1.08,219.92,3.4527439999999996,0.6905488,2.7621952
,,,,,,,,,,,,,,,
VL-18029,1.4,40.0,,,,,,,22.78,17.1,0.41,165.04,2.591128,0.5182256,2.0729024
,,,,,,,,,,,,,,,
VL-18030,0.9,2.0,,,,,,,11.98,28.96,0.14,144.98,2.2761859999999996,0.45523719999999995,1.8209487999999996
,1.0,2.0,,,,,,,,,,,,,
,1.1,26.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18031,1.3,3.0,,,,,4*2,7.0,21.49,14.58,0.4,157.72,2.4762039999999996,0.4952407999999999,1.9809631999999997
,1.2,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18032,1.5,4.0,,,,,,,15.58,21.43,0.05,141.29,2.218253,0.4436506,1.7746023999999998
,,,,,,,,,,,,,,,
VL-18033,1.7,1.0,,,,,,,15.13,5.63,0.02,119.13,1.8703409999999998,0.37406819999999996,1.4962727999999998
,,,,,,,,,,,,,,,
VL-18034,1.2,18.0,,,,,,,17.94,12.38,0.12,145.85,2.2898449999999997,0.45796899999999996,1.8318759999999998
,,,,,,,,,,,,,,,
VL-18035,1.2,2.0,,,6.5,1.0,,,28.08,18.53,0.99,171.03,2.685171,0.5370342,2.1481368
,,,,,,,,,,,,,,,
VL-18036,1.5,3.0,,,,,,,17.08,11.4,0.04,125.63,1.9723909999999998,0.3944782,1.5779127999999998
,,,,,,,,,,,,,,,
VL-18037,1.0,5.0,,,,,,,14.95,18.38,0.11,176.68,2.773876,0.5547752,2.2191008
,1.1,4.0,,,,,,,,,,,,,
,1.2,5.0,,,,,,,,,,,,,
,1.3,2.0,,,,,,,,,,,,,
,1.4,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18038,1.1,16.0,,,6.7,1.0,,,23.52,24.51,1.26,334.96,5.258871999999999,1.0517744,4.207097599999999
,1.0,10.0,,,,,,,,,,,,,
,0.9,6.0,,,,,,,,,,,,,
,1.2,3.0,,,,,,,,,,,,,
,1.3,4.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18039,1.7,2.0,,,,,,,16.06,17.25,0.04,151.64,2.3807479999999996,0.47614959999999995,1.9045983999999998
,,,,,,,,,,,,,,,
VL-18040,1.7,3.0,,,,,,,21.49,18.33,0.05,165.05,2.591285,0.5182570000000001,2.073028
,,,,,,,,,,,,,,,
VL-18041,1.2,32.0,,,,,,,23.1,19.16,0.21,248.88,3.9074159999999996,0.7814831999999999,3.1259327999999997
,,,,,,,,,,,,,,,
VL-18042,1.1,2.0,,,,,,,20.34,16.17,0.1,166.64,2.6162479999999997,0.5232496,2.0929984
,1.2,3.0,,,,,,,,,,,,,
,1.3,7.0,,,,,,,,,,,,,
,1.4,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18043,1.5,1.0,,,,,,,13.8,21.73,0.09,178.21,2.797897,0.5595794,2.2383176
,1.4,3.0,,,,,,,,,,,,,
,1.3,3.0,,,,,,,,,,,,,
,1.2,4.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18044,,,,,3,1.0,,,9.7,24.79,0.1,191.48,3.0062359999999995,0.6012472,2.4049887999999995
,,,,,,,,,,,,,,,
VL-18045,1.0,35.0,,,4.2,1.0,,,19.54,16.09,0.4,202.77,3.183489,0.6366978,2.5467912
,0.9,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VL-18046,,,,,3,1.0,,,11.62,19.56,0.1,171.99,2.700243,0.5400486,2.1601944
,,,,,,,,,,,,,,,
VL-18047,2.0,1.0,,,,,,,12.93,11.51,0.03,88.91,1.3958869999999999,0.27917739999999996,1.1167095999999999
,,,,,,,,,,,,,,,
VL-18048,2.0,1.0,,,,,,,12.18,23.65,0.03,116.82,1.8340739999999998,0.3668148,1.4672591999999998
,,,,,,,,,,,,,,,
VL-18049,1.5,3.0,,,,,,,10.54,12.94,0.04,105.25,1.6524249999999998,0.330485,1.32194
,,,,,,,,,,,,,,,
VL-18050,1.2,17.0,,,,,,,5.93,20.0,0.21,127.18,1.996726,0.3993452,1.5973808
,1.7,4.0,,,,,,,,,,,,,
,1.6,2.0,,,,,,,,,,,,,
