SKU Code,Shape,Diamond Size(Round) mm,Diamond Count(Round),Diamond Size(Princes) mm,Diamond Count(Princes),Diamond Size(Cushion) mm,Diamond Count(Cushion),Diamond Size(Oval) mm,Diamond Count(Oval),Diamond Size(Emerald) mm,Diamond Count(Emerald),Diamond Size(Radiant) mm,Diamond Count(Radiant),Diamond size (Asscher) mm,Diamond count (Asscher),Diamond Size(Heart) mm,Diamond Count(Heart),Diamond Size(Marquise) mm,Diamond Count(Marquise),Diamond Size(Pear) mm,Diamond Count(Pear),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
S R-19001(0.50),Round,5.1,1.0,,,,,,,,,,,,,,,,,,,21.03,5.2,0.51,232.96,3.657472,0.7314944,2.9259776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19001(1.00),Round,6.4,1.0,,,,,,,,,,,,,,,,,,,21.11,6.4,0.98,241.32,3.7887239999999998,0.7577448,3.0309792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19001(1.50),Round,7.3,1.0,,,,,,,,,,,,,,,,,,,21.1,7.3,1.44,256.24,4.022968,0.8045936,3.2183743999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19001(2.00),Round,8.0,1.0,,,,,,,,,,,,,,,,,,,21.1,8.07,1.92,270.97,4.2542290000000005,0.8508458000000001,3.4033832000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19002(0.50),Princess,,,4.4,1.0,,,,,,,,,,,,,,,,,21.1,4.49,0.55,233.64,3.6681479999999995,0.7336296,2.9345183999999995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19002(1.00),Princess,,,5.5,1.0,,,,,,,,,,,,,,,,,21.1,5.58,1.04,250.78,3.9372459999999996,0.7874492,3.1497968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19002(1.50),Princess,,,6.5,1.0,,,,,,,,,,,,,,,,,21.1,6.53,1.72,270.29,4.243553,0.8487106000000001,3.3948424000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19002(2.00),Princess,,,7.0,1.0,,,,,,,,,,,,,,,,,21.1,7.0,2.15,284.87,4.472459,0.8944918,3.5779672
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
