Style no,18kt Gold wt (gms),Diamond wt (Ct),Round Dimond (mm),Count,Cushion (mm),Count.1,Pear (mm),Count.2,Emerald (mm),Count.3,Princess (mm),Count.4,Oval (mm),Count.5,Trillion (mm),Count.6,Baguette (mm),Count.7
DOC - SR 0001,5.12,0.68,1.1,32.0,,,,,,,,,,,,,,
,,,1.25,16.0,,,,,,,,,,,,,,
,,,1.8,2.0,,,,,,,,,,,,,,
,,,1.35,16.0,,,,,,,,,,,,,,
,,,1.6,8.0,,,,,,,,,,,,,,
,,,2.8,1.0,,,,,,,,,,,,,,
DOC - SR 0002,9.85,6.26,1.4,28.0,11 x 9.9,1.0,,,,,,,,,,,,
DOC - SR 0003,1.89,0.26,1.7,14.0,,,,,,,,,,,,,,
DOC - SR 0004,5.87,1.64,6.75,1.0,,,,,,,,,,,,,,
,,,1.25,44.0,,,,,,,,,,,,,,
,,,1.35,18.0,,,,,,,,,,,,,,
DOC - SR 0005,4.17,1.97,1.4,18.0,,,,,,,,,,,,,,
,,,1.7,16.0,,,,,,,,,,,,,,
,,,7.35,1.0,,,,,,,,,,,,,,
DOC - SR 0006,2.7,0.53,,,,,6.9 x 4.8,1.0,,,,,,,,,,
DOC - SR 0007,1.81,0.4,1.75,20.0,,,,,,,,,,,,,,
DOC - SR 0008,3.06,0.67,2.4,13.0,,,,,,,,,,,,,,
DOC - SR 0009,5.9,0.57,1.2,14.0,,,,,,,,,,,,,,
,,,1.7,26.0,,,,,,,,,,,,,,
DOC - SR 0010,3.01,1.62,1.4,34.0,,,,,7.6x5.6,1.0,,,,,,,,
DOC - SR 0011,3.18,0.75,1.6,16.0,,,,,,,4.3,1.0,,,,,,
DOC - SR 0012,3.5,0.52,3.0,2.0,,,,,,,,,,,,,,
,,,4.4,1.0,,,,,,,,,,,,,,
DOC - SR 0013,3.5,1.35,,,,,,,,,6,1.0,,,,,,
DOC - SR 0014,3.28,0.78,1.5,28.0,,,,,,,6.2x4.4,1.0,,,,,,
DOC - SR 0015,4.51,1.55,1.4,50.0,5.7x5.5,1.0,,,,,,,,,,,,
,,,1.55,2.0,,,,,,,,,,,,,,
,,,1.6,2.0,,,,,,,,,,,,,,
,,,1.7,2.0,,,,,,,,,,,,,,
,,,1.8,2.0,,,,,,,,,,,,,,
DOC - SR 0016,3.04,1.01,,,,,,,,,,,7.7x5.7,1.0,,,,
DOC - SR 0017,4.32,1.25,0.9,46.0,5x5.4,1.0,,,,,,,,,,,,
,,,1.6,30.0,,,,,,,,,,,,,,
DOC - SR 0018,1.82,0.28,1.7,15.0,,,,,,,,,,,,,,
DOC - SR 0019,10.72,0.74,1.7,8.0,,,,,,,,,,,,,,
,,,1.5,4.0,,,,,,,,,,,,,,
,,,2.0,18.0,,,,,,,,,,,,,,
DOC - SR 0020,3.35,1.11,6.75,1.0,,,,,,,,,,,,,,
DOC - SR 0021,4.88,1.15,6.75,1.0,,,,,,,,,,,,,,
DOC - SR 0022,10.52,0.0,,,,,,,,,,,,,,,,
DOC - SR 0023,4.9,2.05,1.4,22.0,,,,,,,,,,,,,,
,,,7.7,1.0,,,,,,,,,,,,,,
DOC - SR 0024,2.68,1.58,1.45,18.0,,,,,,,,,,,,,,
,,,7.1,1.0,,,,,,,,,,,,,,
DOC - SR 0025,3.4,1.6,1.85,14.0,,,,,,,,,,,,,,
,,,6.9,1.0,,,,,,,,,,,,,,
DOC - SR 0026,2.73,0.63,2.0,21.0,,,,,,,,,,,,,,
DOC - SR 0027,3.89,1.26,1.9,16.0,,,,,,,,,,,,,,
,,,6.2,1.0,,,,,,,,,,,,,,
DOC - SR 0028,3.61,1.2,1.6,26.0,,,,,,,,,,,,,,
,,,6.0,1.0,,,,,,,,,,,,,,
DOC - SR 0029,2.98,1.1,1.6,18.0,,,,,,,,,,,,,,
,,,6.0,1.0,,,,,,,,,,,,,,
DOC - SR 0030,3.04,0.5,2.0,8.0,,,,,,,,,5x3.6,1.0,,,,
DOC - SR 0031,3.4,0.7,3.0,7.0,,,,,,,,,,,,,,
DOC - SR 0032,4.65,1.99,8.1,1.0,,,,,,,,,,,,,,
DOC - SR 0033,2.0,0.26,2.4,2.0,,,,,,,,,4.2X3.15,1.0,,,,
DOC - SR 0034,13.56,0.54,2.0,4.0,,,,,,,,,,,,,,
,,,2.6,4.0,,,,,,,,,,,,,,
DOC - SR 0035,2.86,0.61,1.6,6.0,,,,,,,,,,,,,,
,,,5.2,1.0,,,,,,,,,,,,,,
DOC - SR 0036,7.37,3.12,1.8,42.0,,,,,,,,,9.5X6.5,1.0,,,,
,,,2.0,20.0,,,,,,,,,,,,,,
DOC - SR 0037,2.7,1.16,1.6,16.0,,,,,,,,,,,,,,
,,,2.7,8.0,,,,,,,,,,,,,,
,,,2.2,8.0,,,,,,,,,,,,,,
DOC - SR 0038,8.64,5.23,1.0,74.0,,,,,,,4.9,2.0,,,,,,
,,,,,,,,,,,8.2,1.0,,,,,,
DOC - SR 0039,7.16,2.35,1.3,2.0,,,,,,,,,,,,,,
,,,3.4,8.0,,,,,,,,,,,,,,
,,,1.5,38.0,,,,,,,,,,,,,,
,,,5.9,1.0,,,,,,,,,,,,,,
DOC - SR 0040,5.53,0.6,2.1,4.0,,,,,,,4.2,1.0,,,,,,
DOC - SR 0041,14.63,0.0,,,,,,,,,,,,,,,,
DOC - SR 0042,5.45,7.0,,,9.5x8.5,1.0,,,,,,,,,4.7X5.3,2.0,,
DOC - SR 0043,4.16,0.76,1.0,12.0,,,,,,,,,,,,,,
,,,1.6,2.0,,,,,,,,,,,,,,
,,,2.1,2.0,,,,,,,,,,,,,,
,,,2.7,2.0,,,,,,,,,,,,,,
,,,5.0,1.0,,,,,,,,,,,,,,
DOC - SR 0044,5.95,1.32,1.6,8.0,,,,,,,,,,,,,,
,,,6.8,1.0,,,,,,,,,,,,,,
DOC - SR 0045,4.56,0.69,0.9,2.0,,,,,,,,,,,,,,
,,,1.5,4.0,,,,,,,,,,,,,,
,,,1.2,12.0,,,,,,,,,,,,,,
,,,1.3,4.0,,,,,,,,,,,,,,
,,,1.1,4.0,,,,,,,,,,,,,,
,,,5.2,1.0,,,,,,,,,,,,,,
DOC - SR 0046,3.0,1.18,1.1,42.0,,,,,,,,,,,,,,
,,,1.4,16.0,,,,,,,,,,,,,,
,,,6.0,1.0,,,,,,,,,,,,,,
DOC - SR 0047,4.49,1.39,1.2,16.0,,,,,,,1.5,2.0,,,,,,
,,,1.4,18.0,,,,,,,,,,,,,,
,,,1.5,2.0,,,,,,,,,,,,,,
,,,6.5,1.0,,,,,,,,,,,,,,
DOC - SR 0048,4.6,1.48,1.2,16.0,,,,,,,,,,,,,,
,,,1.4,18.0,,,,,,,,,,,,,,
,,,2.8,2.0,,,,,,,,,,,,,,
,,,6.5,1.0,,,,,,,,,,,,,,
DOC - SR 0049,5.68,1.43,1.1,4.0,,,,,,,,,,,,,,
,,,1.2,2.0,,,,,,,,,,,,,,
,,,1.3,2.0,,,,,,,,,,,,,,
,,,1.5,2.0,,,,,,,,,,,,,,
,,,1.8,2.0,,,,,,,,,,,,,,
,,,2.4,2.0,,,,,,,,,,,,,,
,,,1.6,2.0,,,,,,,,,,,,,,
,,,6.8,1.0,,,,,,,,,,,,,,
DOC - SR 0050,8.52,6.82,1.4,104.0,,,,,,,,,,,,,,
,,,2.5,16.0,,,,,,,,,,,,,,
,,,11.2,1.0,,,,,,,,,,,,,,
DOC - SR 0051,4.34,1.13,6.7,1.0,,,,,,,,,,,,,,
DOC - SR 0052,3.25,2.82,1.7,22.0,7.7x7.7,1.0,,,,,,,,,,,,
DOC - SR 0053,2.95,1.16,6.7,1.0,,,,,,,,,,,,,,
DOC - SR 0054,11.68,6.43,2.1,32.0,,,,,,,,,,,,,,
,,,3.1,2.0,,,,,,,,,11.7x10.1,1.0,,,2.6x2,6.0
DOC - SR 0055,4.94,1.53,1.8,14.0,,,8.8x5.7,1.0,,,,,,,,,,
,,,1.6,18.0,,,,,,,,,,,,,,
DOC - SR 0056,4.59,1.14,6.7,1.0,,,,,,,,,,,,,,
DOC - SR 0057,5.87,2.05,,,,,,,,,2.1,12.0,,,,,,
,,,,,,,,,,,5.7,1.0,,,,,,
DOC - SR 0058,4.82,2.05,4.9,2.0,,,,,,,,,,,,,,
,,,6.75,1.0,,,,,,,,,,,,,,
DOC - SR 0059,3.7,1.71,1.8,22.0,,,,,,,,,7.8x5.7,1.0,,,,
,,,3.1,2.0,,,,,,,,,,,,,,
DOC - SR 0060,4.39,1.35,1.35,36.0,,,,,,,,,7.8x5.7,1.0,,,,
DOC - SR 0061,4.61,1.95,6.2,1.0,,,,,,,,,,,,,,
,,,5.2,2.0,,,,,,,,,,,,,,
DOC - SR 0062,4.79,2.89,,,,,,,,,5.7,1.0,,,,,,
,,,,,,,,,,,4.7,2.0,,,,,,
DOC - SR 0063,3.77,1.28,1.35,16.0,,,,,,,,,,,,,,
,,,6.7,1.0,,,,,,,,,,,,,,
DOC - SR 0064,3.44,0.89,6.2,1.0,,,,,,,,,,,,,,
DOC - SR 0065,3.67,1.33,,,,,,,,,5.7,1.0,,,,,,
DOC - SR 0066,3.72,0.9,2.8,11.0,,,,,,,,,,,,,,
DOC - SR 0067,4.23,1.96,2.8,10.0,,,,,,,,,,,,,,
,,,6.7,1.0,,,,,,,,,,,,,,
DOC - SR 0068,4.85,1.49,1.35,38.0,,,,,,,,,,,,,,
,,,6.75,1.0,,,,,,,,,,,,,,
DOC - SR 0069,3.72,0.29,1.35,31.0,,,,,,,,,,,,,,
DOC - SR 0070,4.89,1.57,1.55,31.0,,,,,,,,,,,,,,
,,,6.7,1.0,,,,,,,,,,,,,,
DOC - SR 0071,4.43,1.3,1.0,38.0,,,,,,,,,,,,,,
,,,6.75,1.0,,,,,,,,,,,,,,
DOC - SR 0072,3.94,1.14,6.7,1.0,,,,,,,,,,,,,,
DOC - SR 0073,4.57,1.49,1.0,80.0,,,,,,,,,,,,,,
,,,6.8,1.0,,,,,,,,,,,,,,
DOC - SR 0074,3.11,1.23,5.5,1.0,,,,,,,,,,,,,,
DOC - SR 0075,5.52,2.16,1.9,12.0,,,,,,,,,,,,,,
,,,1.8,12.0,6.7,1.0,,,,,,,,,,,,
DOC - SR 0076,5.54,1.72,1.35,16.0,,,,,,,,,,,,,,
,,,1.8,12.0,6.75,1.0,,,,,,,,,,,,
DOC - SR 0077,3.67,0.92,,,,,,,,,5.3,1.0,,,,,,
DOC - SR 0078,2.78,0.54,5.25,1.0,,,,,,,,,,,,,,
DOC - SR 0079,3.27,0.54,5.2,1.0,,,,,,,,,,,,,,
DOC - SR 0080,2.9,0.54,5.25,1.0,,,,,,,,,,,,,,
DOC - SR 0081,1.54,0.09,1.3,12.0,,,,,,,,,,,,,,
DOC - SR 0082,2.74,0.13,2.6,2.0,,,,,,,,,,,,,,
DOC - SR 0083,1.63,0.07,2.1,2.0,,,,,,,,,,,,,,
DOC - SR 0084,1.52,0.05,1.15,9.0,,,,,,,,,,,,,,
DOC - SR 0085,1.86,0.08,1.9,3.0,,,,,,,,,,,,,,
DOC - SR 0086,1.57,0.1,1.5,4.0,,,,,,,,,,,,,,
,,,1.6,2.0,,,,,,,,,,,,,,
,,,1.7,1.0,,,,,,,,,,,,,,
DOC - SR 0087,1.54,0.09,1.3,10.0,,,,,,,,,,,,,,
,,,1.4,2.0,,,,,,,,,,,,,,
DOC - SR 0088,1.54,0.2,1.4,21.0,,,,,,,,,,,,,,
DOC - SR 0089,1.29,0.0,,,,,,,,,,,,,,,,
DOC - SR 0090,6.17,5.84,2.1,14.0,,,9.2x6.2,2.0,,,,,,,,,,
,,,9.2,1.0,,,,,,,,,,,,,,
DOC - SR 0091,10.42,3.82,2.0,18.0,,,,,,,,,,,,,,
,,,1.3,28.0,9x7.3,1.0,,,,,,,,,,,,
,,,1.7,10.0,,,,,,,,,,,,,,
DOC - SR 0092,4.2,2.03,2.1,2.0,7.1x6,1.0,,,,,,,,,,,,
,,,1.9,2.0,,,,,,,,,,,,,,
,,,1.55,2.0,,,,,,,,,,,,,,
,,,1.3,10.0,,,,,,,,,,,,,,
DOC - SR 0093,4.18,1.74,1.1,36.0,,,3.8x2.4,2.0,7.3x5.6,1.0,,,,,,,,
DOC - SR 0094,6.65,2.96,1.6,22.0,7.9x7.9,1.0,,,,,1.3,20.0,,,,,,
,,,1.3,12.0,,,,,,,,,,,,,,
DOC - SR 0095,2.6,0.84,1.7,2.0,,,,,,,,,,,,,,
,,,6.0,1.0,,,,,,,,,,,,,,
DOC - SR 0096,5.64,2.3,7.4,1.0,,,,,,,,,,,,,,
,,,3.0,8.0,,,,,,,,,,,,,,
,,,1.0,6.0,,,,,,,,,,,,,,
DOC - SR 0097,5.29,1.68,1.0,24.0,,,,,,,,,,,,,,
,,,1.6,20.0,,,,,,,,,,,,,,
,,,1.2,19.0,,,,,,,,,,,,,,
,,,6.8,1.0,,,,,,,,,,,,,,
DOC - SR 0098,6.62,1.46,2.8,2.0,6.1x5.5,1.0,,,,,,,,,,,,
DOC - SR 0099,10.35,4.5,1.6,50.0,,,,,,,6.8,1.0,,,,,,
,,,2.8,21.0,,,,,,,,,,,,,,
DOC - SR 0100,5.17,2.91,1.8,4.0,,,,,,,,,,,,,,
,,,8.6,1.0,,,,,,,,,,,,,,
,,,2.25,4.0,,,,,,,,,,,,,,
,,,1.4,4.0,,,,,,,,,,,,,,
,,,2.4,2.0,,,,,,,,,,,,,,
,,,2.0,2.0,,,,,,,,,,,,,,
,,,1.9,2.0,,,,,,,,,,,,,,
,,,1.5,4.0,,,,,,,,,,,,,,
