Style no,18kt Gold wt (gms),Diamond wt (Ct),Round Dimond (mm),Count,Cushion (mm),Count.1,Pear (mm),Count.2,Emerald (mm),Count.3,Princess (mm),Count.4,Oval (mm),Count.5,Trillion (mm),Count.6,Baguette (mm),Count.7,Marquise (mm),Count.8
DOC -  0101,3.51,1.57,1.6,16.0,,,,,,,,,,,,,,,,
,,,1.1,14.0,,,,,,,,,,,,,,,,
,,,6.9,1.0,,,,,,,,,,,,,,,,
DOC -  0102,5.46,2.58,1.1,51.0,7.4x7.4,1.0,,,,,,,,,,,,,,
,,,1.4,28.0,,,,,,,,,,,,,,,,
,,,1.0,12.0,,,,,,,,,,,,,,,,
DOC -  0103,3.59,3.4,0.9,16.0,8.25x8.25,1.0,,,,,,,,,,,,,,
,,,1.0,104.0,,,,,,,,,,,,,,,,
,,,1.1,10.0,,,,,,,,,,,,,,,,
DOC -  0104,4.04,0.5,5.1,1.0,,,,,,,,,,,,,,,,
DOC -  0105,2.37,0.0,,,,,,,,,,,,,,,,,,
DOC -  0106,6.16,2.39,1.6,22.0,,,,,,,,,,,,,,,,
,,,2.7,3.0,,,,,,,,,,,,,,,,
,,,2.4,3.0,,,,,,,,,,,,,,,,
,,,2.3,3.0,,,,,,,,,,,,,,,,
,,,2.2,3.0,,,,,,,,,,,,,,,,
,,,2.1,3.0,,,,,,,,,,,,,,,,
,,,2.0,3.0,,,,,,,,,,,,,,,,
,,,1.9,2.0,,,,,,,,,,,,,,,,
,,,6.9,1.0,,,,,,,,,,,,,,,,
DOC -  0107,4.54,1.39,7.3,1.0,,,,,,,,,,,,,,,,
DOC -  0108,3.36,1.46,1.1,36.0,,,,,,,,,,,,,,,,
,,,1.4,26.0,,,,,,,,,,,,,,,,
,,,6.7,1.0,,,,,,,,,,,,,,,,
DOC -  0109,13.01,4.67,8.5,1.0,,,,,,,2.4,2.0,,,,,,,,
,,,2.7,4.0,,,,,,,2.6,2.0,,,,,,,,
,,,2.4,4.0,,,,,,,2.8,2.0,,,,,,,,
,,,2.2,4.0,,,,,,,3.1,2.0,,,,,,,,
,,,2.0,4.0,,,,,,,3.3,2.0,,,,,,,,
,,,1.8,4.0,,,,,,,,,,,,,,,,
DOC -  0110,8.65,1.14,2.9,12.0,,,,,,,,,,,,,,,,
DOC -  0111,4.23,2.89,2.5,10.0,7.6x7.6,1.0,,,,,,,,,,,,,,
DOC -  0112,10.95,5.01,1.6,27.0,,,,,,,7.51,1.0,,,,,,,,
,,,1.4,36.0,,,,,,,,,,,,,,,,
,,,1.9,12.0,,,,,,,,,,,,,,,,
,,,1.7,24.0,,,,,,,,,,,,,,,,
,,,1.5,8.0,,,,,,,,,,,,,,,,
,,,1.2,4.0,,,,,,,,,,,,,,,,
,,,3.9,2.0,,,,,,,,,,,,,,,,
,,,1.8,2.0,,,,,,,,,,,,,,,,
,,,2.7,2.0,,,,,,,,,,,,,,,,
DOC -  0113,9.74,2.1,7.4,1.0,,,,,,,,,,,,,,,,
,,,2.3,4.0,,,,,,,,,,,,,,,,
,,,1.7,8.0,,,,,,,,,,,,,,,,
,,,1.5,20.0,,,,,,,,,,,,,,,,
DOC -  0114,3.94,2.94,2.0,14.0,,,,,,,,,,,,,,,,
,,,8.8,1.0,,,,,,,,,,,,,,,,
DOC -  0115,7.04,2.48,,,,,,,5.6x5.4,3.0,,,,,,,,,,
DOC -  0116,4.54,0.52,1.5,38.0,,,,,,,,,,,,,,,,
DOC -  0117,3.73,1.92,2.5,10.0,,,,,,,5.6,1.0,,,,,,,,
DOC -  0118,5.39,1.41,6.5,1.0,,,,,,,,,,,,,,,,
,,,1.2,60.0,,,,,,,,,,,,,,,,
,,,1.4,2.0,,,,,,,,,,,,,,,,
DOC -  0119,4.05,1.38,2.6,2.0,,,,,,,,,,,,,,,,
,,,2.4,2.0,,,,,,,,,,,,,,,,
,,,2.2,2.0,,,,,,,,,,,,,,,,
,,,2.8,2.0,,,,,,,,,,,,,,,,
,,,6.2,1.0,,,,,,,,,,,,,,,,
DOC -  0120,6.59,4.94,6.25,2.0,,,,,,,,,,,,,,,,
,,,8.9,1.0,,,,,,,,,,,,,,,,
,,,1.9,10.0,,,,,,,,,,,,,,,,
,,,1.0,24.0,,,,,,,,,,,,,,,,
,,,1.1,8.0,,,,,,,,,,,,,,,,
,,,0.9,16.0,,,,,,,,,,,,,,,,
DOC -  0121,4.4,1.85,,,,,,,7.6x4.8,1.0,,,,,3.7X3.7,2.0,,,,
DOC -  0122,7.41,1.99,1.7,35.0,,,,,,,,,,,,,,,,
,,,1.9,12.0,,,,,,,,,,,,,,,,
,,,1.0,90.0,,,,,,,,,,,,,,,,
,,,6.1,1.0,,,,,,,,,,,,,,,,
DOC -  0123,10.02,4.45,1.4,32.0,,,,,12.7x8.2,1.0,,,,,,,,,,
,,,1.9,12.0,,,,,,,,,,,,,,,,
DOC -  0124,3.54,1.18,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0125,10.15,0.39,2.4,8.0,,,,,,,,,,,,,,,,
