Style no,18kt Gold wt (gms),Diamond wt (Ct),Round (mm),Count,Baguette (mm),Count.1,Marquise (mm),Count.2,Oval (mm),Count.3,Pear (mm),Count.4
DOC - SR 0601,1.25,0.1,1.0,12.0,,,,,,,,
,,,2.5,1.0,,,,,,,,
DOC - SR 0602,1.17,0.16,1.2,8.0,4x2,1.0,,,,,,
DOC - SR 0603,1.24,0.15,1.8,2.0,,,,,,,,
,,,1.3,6.0,,,,,,,,
,,,2.5,1.0,,,,,,,,
DOC - SR 0604,1.23,0.16,2.4,1.0,,,,,,,,
,,,1.6,2.0,,,,,,,,
,,,1.8,2.0,,,,,,,,
,,,1.0,10.0,,,,,,,,
DOC - SR 0605,1.34,0.11,1.2,17.0,,,,,,,,
DOC - SR 0606,0.97,0.07,1.5,2.0,3.25x1.5,1.0,,,,,,
DOC - SR 0607,1.24,0.24,1.8,11.0,,,,,,,,
DOC - SR 0608,1.23,0.15,2.0,1.0,,,4x2,2.0,,,,
,,,1.7,1.0,,,,,,,,
DOC - SR 0609,1.4,0.25,2.5,2.0,,,,,,,,
,,,1.3,4.0,,,,,,,,
,,,2.0,2.0,,,,,,,,
,,,1.8,2.0,,,,,,,,
DOC - SR 0610,1.27,0.26,1.6,17.0,,,,,,,,
DOC - SR 0611,0.98,0.06,,,3x1.25,2.0,,,,,,
DOC - SR 0612,1.46,0.29,1.3,16.0,,,3x1.5,7.0,,,,
DOC - SR 0613,1.32,0.13,1.2,6.0,,,,,,,,
,,,2.9,1.0,,,,,,,,
DOC - SR 0614,1.25,0.08,1.5,6.0,,,,,,,,
DOC - SR 0615,1.54,0.28,2.2,5.0,,,,,,,,
,,,1.3,10.0,,,,,,,,
DOC - SR 0616,1.12,0.19,1.3,8.0,3.25x1.75,2.0,,,,,,
DOC - SR 0617,1.1,0.08,1.3,7.0,,,,,,,,
,,,1.0,6.0,,,,,,,,
DOC - SR 0618,1.76,0.29,1.6,6.0,,,,,,,,
,,,2.2,5.0,,,,,,,,
DOC - SR 0619,1.41,0.17,1.0,16.0,4x2,1.0,,,,,,
DOC - SR 0620,1.74,0.28,2.2,7.0,,,,,,,,
DOC - SR 0621,1.48,0.12,1.3,14.0,,,,,,,,
DOC - SR 0622,1.14,0.08,2.0,1.0,,,,,,,,
,,,1.7,2.0,,,,,,,,
,,,1.3,2.0,,,,,,,,
DOC - SR 0623,1.33,0.06,1.4,6.0,,,,,,,,
DOC - SR 0624,2.35,0.1,1.3,1.0,,,,,,,,
,,,1.0,14.0,,,,,,,,
,,,1.1,7.0,,,,,,,,
DOC - SR 0625,1.58,0.16,2.0,2.0,,,,,,,,
,,,1.7,2.0,,,,,,,,
,,,1.5,2.0,,,,,,,,
,,,2.2,1.0,,,,,,,,
DOC - SR 0626,1.53,0.47,1.3,13.0,,,,,6x4,1.0,,
DOC - SR 0627,1.27,0.13,2.8,3.0,,,,,,,,
DOC - SR 0628,0.97,0.08,2.2,2.0,,,,,,,,
DOC - SR 0629,1.21,0.04,1.1,9.0,,,,,,,,
DOC - SR 0630,1.49,0.23,1.1,12.0,2.25x1.5,5.0,,,,,,
DOC - SR 0631,1.79,0.16,1.3,20.0,,,,,,,,
DOC - SR 0632,1.31,0.17,1.0,26.0,2.5x1.5,2.0,,,,,,
DOC - SR 0633,4.62,0.26,1.5,21.0,,,,,,,,
DOC - SR 0634,1.12,0.06,2.5,1.0,,,,,,,,
DOC - SR 0635,1.2,0.08,1.7,2.0,3x1.5,1.0,,,,,,
DOC - SR 0636,1.08,0.05,1.2,7.0,,,,,,,,
DOC - SR 0637,1.92,0.45,1.0,43.0,,,,,,,,
,,,2.5,5.0,,,,,,,,
DOC - SR 0638,1.18,0.07,1.2,11.0,,,,,,,,
DOC - SR 0639,1.21,0.05,1.2,7.0,,,,,,,,
DOC - SR 0640,1.22,0.03,1.2,5.0,,,,,,,,
DOC - SR 0641,1.23,0.02,1.2,3.0,,,,,,,,
DOC - SR 0642,1.25,0.01,1.2,1.0,,,,,,,,
DOC - SR 0643,1.46,0.24,2.5,2.0,,,,,,,,
,,,2.0,4.0,,,,,,,,
DOC - SR 0644,1.31,0.25,1.0,27.0,3x1.5,2.0,,,,,,
,,,2.5,1.0,,,,,,,,
DOC - SR 0645,1.29,0.14,2.0,2.0,,,,,,,,
,,,1.0,22.0,,,,,,,,
DOC - SR 0646,1.21,0.16,1.2,4.0,,,,,3x2,3.0,,
DOC - SR 0647,1.81,0.35,1.1,16.0,2.5x1.5,7.0,,,,,,
DOC - SR 0648,1.83,0.33,1.0,26.0,2.5x1.5,6.0,,,,,,
