ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Woo Variation Gallery Images,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wp_page_template,Meta: _product_video_gallery,Meta: _product_video_code,Meta: _product_video_autoplay,Meta: _et_quantity_type,Meta: _et_quantity_ranges,Meta: _sale_price_time_start,Meta: _sale_price_time_end,Meta: _et_gtin,Meta: _et_primary_category,Meta: _et_sale_counter,Meta: _et_single_layout,Meta: _et_additional_block,Meta: _et_product_slider,Meta: _et_single_thumbnail_hover,Meta: _et_product_view_hover,Meta: _et_product_view_color,Meta: _et_product_video_thumbnail,Meta: _eael_post_view_count,Meta: _yoast_wpseo_primary_brand,Meta: _yoast_wpseo_primary_product_brand,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: is_jewellery_product,Meta: its_jp_gold_types,Meta: its_jp_gold_weight,Meta: its_jp_gold_making_charge,Meta: its_jp_gold_wastage_charge,Meta: its_jp_gold_discount,Meta: its_jp_gold_making_charge_discount,Meta: its_jp_gold_wastage_charge_discount,Meta: gold_making_charge_amount,Meta: gold_wastage_charge_amount,Meta: gold_value,Meta: only_metals_total,Meta: making_charges_total,Meta: wastage_charges_total,Meta: itsjp_subtotal,Meta: itsjp_totaltax,Meta: metals_total,Meta: extra_field_costs,Meta: additionalPercentage,Meta: metals_diff_gst,Meta: gstPercentage,Meta: grand_final_price,Meta: final_price,Meta: round_off,Meta: its_jp_diamond_types,Meta: its_jp_diamond_weight,Meta: its_jp_diamond_making_charge,Meta: its_jp_diamond_wastage_charge,Meta: its_jp_diamond_discount,Meta: its_jp_diamond_making_charge_discount,Meta: its_jp_diamond_wastage_charge_discount,Meta: diamond_making_charge_amount,Meta: diamond_wastage_charge_amount,Meta: diamond_value,Meta: _wp_desired_post_slug,Meta: rs_page_bg_color,Meta: _wp_old_date,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
1926,variable,,,Radiant Embrace Chain,1,0,visible,"<p class="""" data-start=""957"" data-end=""1119"">Minimal, yet magnetic. This chain features evenly spaced diamonds that hug the neckline in perfect harmony and soft shimmer.</p>",,,,taxable,,1,,,0,0,,,,,1,,,,Necklaces,,,https://rareregalia.com/wp-content/uploads/2025/05/Radiant-Embrace-Chain.png,,,,,,,,,0,,,Color,"White Gold, Yellow Gold",1.0,1,Size,"10 (50.8 mm), 5 (48.8 mm), 6 (50 mm), 7 (50.2 mm), 8 (50.4 mm), 9 (50.6 mm)",1.0,1.0,default,,,,,,Array,Array,,auto,disable,standard,0.0,inherit,inherit,inherit,inherit,inherit,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,variation,,,"Radiant Embrace Chain - 10 (50.8 mm), 14k-white-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,1,,,Size,10 (50.8 mm),,1,Color,14k-white-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,variation,,,"Radiant Embrace Chain - 5 (48.8 mm), 14k-white-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,2,,,Size,5 (48.8 mm),,1,Color,14k-white-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,variation,,,"Radiant Embrace Chain - 6 (50 mm), 14k-white-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,3,,,Size,6 (50 mm),,1,Color,14k-white-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,variation,,,"Radiant Embrace Chain - 7 (50.2 mm), 14k-white-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,4,,,Size,7 (50.2 mm),,1,Color,14k-white-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,variation,,,"Radiant Embrace Chain - 8 (50.4 mm), 14k-white-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,5,,,Size,8 (50.4 mm),,1,Color,14k-white-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,variation,,,"Radiant Embrace Chain - 9 (50.6 mm), 14k-white-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,6,,,Size,9 (50.6 mm),,1,Color,14k-white-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,variation,,,"Radiant Embrace Chain - 10 (50.8 mm), 14k-yellow-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,7,,,Size,10 (50.8 mm),,1,Color,14k-yellow-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,variation,,,"Radiant Embrace Chain - 5 (48.8 mm), 14k-yellow-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,8,,,Size,5 (48.8 mm),,1,Color,14k-yellow-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,variation,,,"Radiant Embrace Chain - 6 (50 mm), 14k-yellow-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,9,,,Size,6 (50 mm),,1,Color,14k-yellow-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
