image_id,variant_id,image_url,image_type,is_primary,alt_text,sort_order
1,1,https://rareregalia.com/wp-content/uploads/2025/07/0111-R1.jpg,product,1,Celesto Ring - Rose Gold - Image 1,1
2,1,https://rareregalia.com/wp-content/uploads/2025/07/0111-R2.jpg,product,0,Celesto Ring - Rose Gold - Image 2,2
3,1,https://rareregalia.com/wp-content/uploads/2025/07/0111-R3.jpg,product,0,Celesto Ring - Rose Gold - Image 3,3
4,1,https://rareregalia.com/wp-content/uploads/2025/07/0111-R4.jpg,product,0,Celesto Ring - Rose Gold - Image 4,4
5,2,https://rareregalia.com/wp-content/uploads/2025/07/0111-R1.jpg,product,1,Celesto Ring - Rose Gold - Image 1,1
6,2,https://rareregalia.com/wp-content/uploads/2025/07/0111-R2.jpg,product,0,Celesto Ring - Rose Gold - Image 2,2
7,2,https://rareregalia.com/wp-content/uploads/2025/07/0111-R3.jpg,product,0,Celesto Ring - Rose Gold - Image 3,3
8,2,https://rareregalia.com/wp-content/uploads/2025/07/0111-R4.jpg,product,0,Celesto Ring - Rose Gold - Image 4,4
9,3,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R1.jpg,product,1,Lumière Gold Tennis Bracelet - Rose Gold - Image 1,1
10,3,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R2.jpg,product,0,Lumière Gold Tennis Bracelet - Rose Gold - Image 2,2
11,3,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R3.jpg,product,0,Lumière Gold Tennis Bracelet - Rose Gold - Image 3,3
12,3,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R4.jpg,product,0,Lumière Gold Tennis Bracelet - Rose Gold - Image 4,4
13,4,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W1.jpg,product,1,Lumière Gold Tennis Bracelet - White Gold - Image 1,1
14,4,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W2.jpg,product,0,Lumière Gold Tennis Bracelet - White Gold - Image 2,2
15,4,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W3.jpg,product,0,Lumière Gold Tennis Bracelet - White Gold - Image 3,3
16,4,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W4.jpg,product,0,Lumière Gold Tennis Bracelet - White Gold - Image 4,4
17,5,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y1.jpg,product,1,Lumière Gold Tennis Bracelet - Yellow Gold - Image 1,1
18,5,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y2.jpg,product,0,Lumière Gold Tennis Bracelet - Yellow Gold - Image 2,2
19,5,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y3.jpg,product,0,Lumière Gold Tennis Bracelet - Yellow Gold - Image 3,3
20,5,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y4.jpg,product,0,Lumière Gold Tennis Bracelet - Yellow Gold - Image 4,4
21,6,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R1.jpg,product,1,Lumière Gold Tennis Bracelet - Rose Gold - Image 1,1
22,6,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R2.jpg,product,0,Lumière Gold Tennis Bracelet - Rose Gold - Image 2,2
23,6,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R3.jpg,product,0,Lumière Gold Tennis Bracelet - Rose Gold - Image 3,3
24,6,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-R4.jpg,product,0,Lumière Gold Tennis Bracelet - Rose Gold - Image 4,4
25,7,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W1.jpg,product,1,Lumière Gold Tennis Bracelet - White Gold - Image 1,1
26,7,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W2.jpg,product,0,Lumière Gold Tennis Bracelet - White Gold - Image 2,2
27,7,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W3.jpg,product,0,Lumière Gold Tennis Bracelet - White Gold - Image 3,3
28,7,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-W4.jpg,product,0,Lumière Gold Tennis Bracelet - White Gold - Image 4,4
29,8,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y1.jpg,product,1,Lumière Gold Tennis Bracelet - Yellow Gold - Image 1,1
30,8,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y2.jpg,product,0,Lumière Gold Tennis Bracelet - Yellow Gold - Image 2,2
31,8,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y3.jpg,product,0,Lumière Gold Tennis Bracelet - Yellow Gold - Image 3,3
32,8,https://rareregalia.com/wp-content/uploads/2025/07/TB-14078-Y4.jpg,product,0,Lumière Gold Tennis Bracelet - Yellow Gold - Image 4,4
33,9,https://rareregalia.com/wp-content/uploads/2025/07/17026-R1.jpg,product,1,Infinity Grace Dangler Earrings - Rose Gold - Image 1,1
34,9,https://rareregalia.com/wp-content/uploads/2025/07/17026-R2.jpg,product,0,Infinity Grace Dangler Earrings - Rose Gold - Image 2,2
35,9,https://rareregalia.com/wp-content/uploads/2025/07/17026-R3.jpg,product,0,Infinity Grace Dangler Earrings - Rose Gold - Image 3,3
36,9,https://rareregalia.com/wp-content/uploads/2025/07/17026-R4.jpg,product,0,Infinity Grace Dangler Earrings - Rose Gold - Image 4,4
37,10,https://rareregalia.com/wp-content/uploads/2025/07/17026-Y1.jpg,product,1,Infinity Grace Dangler Earrings - Yellow Gold - Image 1,1
38,10,https://rareregalia.com/wp-content/uploads/2025/07/17026-Y2.jpg,product,0,Infinity Grace Dangler Earrings - Yellow Gold - Image 2,2
39,10,https://rareregalia.com/wp-content/uploads/2025/07/17026-Y3.jpg,product,0,Infinity Grace Dangler Earrings - Yellow Gold - Image 3,3
40,10,https://rareregalia.com/wp-content/uploads/2025/07/17026-Y4.jpg,product,0,Infinity Grace Dangler Earrings - Yellow Gold - Image 4,4
41,11,https://rareregalia.com/wp-content/uploads/2025/07/17033-Y3.jpg,product,1,Stellar Spark Dangler Earrings,1
42,12,https://rareregalia.com/wp-content/uploads/2025/07/17035-Y3.jpg,product,1,Blossom Aura Dangler Earrings,1
43,13,https://rareregalia.com/wp-content/uploads/2025/07/17045-R3.jpg,product,1,Luna Halo Dangler Earrings,1
44,14,https://rareregalia.com/wp-content/uploads/2025/07/17046-R1.jpg,product,1,Eternal Love Dangler Earrings,1
45,15,https://rareregalia.com/wp-content/uploads/2025/07/17051-R1.jpg,product,1,Celeste Curve Dangler Earrings,1
46,16,https://rareregalia.com/wp-content/uploads/2025/07/17082-R3.jpg,product,1,LoveLine Dangler Earrings,1
47,17,https://rareregalia.com/wp-content/uploads/2025/07/17001-R3.jpg,product,1,Eterna Luxe Hoop Earrings,1
48,18,https://rareregalia.com/wp-content/uploads/2025/07/17002-R3.jpg,product,1,Radiant Eternity Hoop Earrings,1
49,19,https://rareregalia.com/wp-content/uploads/2025/07/17005-R3.jpg,product,1,Infinity Spark Hoop Earrings,1
50,20,https://rareregalia.com/wp-content/uploads/2025/07/17007-R3.jpg,product,1,GlowVault Huggie Earrings,1
51,21,https://rareregalia.com/wp-content/uploads/2025/07/17012-R1.jpg,product,1,Starlight Rows Huggie Earrings,1
52,22,https://rareregalia.com/wp-content/uploads/2025/07/17017-R3.jpg,product,1,Luna Arc Hoops,1
53,23,https://rareregalia.com/wp-content/uploads/2025/07/17021-R3.jpg,product,1,Aurora Luxe Hoops,1
54,24,https://rareregalia.com/wp-content/uploads/2025/07/17022-R1.jpg,product,1,Celestia Spark Hoops - Rose Gold - Image 1,1
55,24,https://rareregalia.com/wp-content/uploads/2025/07/17022-R2.jpg,product,0,Celestia Spark Hoops - Rose Gold - Image 2,2
56,24,https://rareregalia.com/wp-content/uploads/2025/07/17022-R3.jpg,product,0,Celestia Spark Hoops - Rose Gold - Image 3,3
57,24,https://rareregalia.com/wp-content/uploads/2025/07/17022-R4.jpg,product,0,Celestia Spark Hoops - Rose Gold - Image 4,4
58,25,https://rareregalia.com/wp-content/uploads/2025/07/17022-R1.jpg,product,1,Celestia Spark Hoops - Rose Gold - Image 1,1
59,25,https://rareregalia.com/wp-content/uploads/2025/07/17022-R2.jpg,product,0,Celestia Spark Hoops - Rose Gold - Image 2,2
60,25,https://rareregalia.com/wp-content/uploads/2025/07/17022-R3.jpg,product,0,Celestia Spark Hoops - Rose Gold - Image 3,3
61,25,https://rareregalia.com/wp-content/uploads/2025/07/17022-R4.jpg,product,0,Celestia Spark Hoops - Rose Gold - Image 4,4
62,26,https://rareregalia.com/wp-content/uploads/2025/07/17022-Y1.jpg,product,1,Celestia Spark Hoops - Yellow Gold - Image 1,1
63,26,https://rareregalia.com/wp-content/uploads/2025/07/17022-Y2.jpg,product,0,Celestia Spark Hoops - Yellow Gold - Image 2,2
64,26,https://rareregalia.com/wp-content/uploads/2025/07/17022-Y3.jpg,product,0,Celestia Spark Hoops - Yellow Gold - Image 3,3
65,26,https://rareregalia.com/wp-content/uploads/2025/07/17022-Y4.jpg,product,0,Celestia Spark Hoops - Yellow Gold - Image 4,4
66,27,https://rareregalia.com/wp-content/uploads/2025/07/17022-Y1.jpg,product,1,Celestia Spark Hoops - Yellow Gold - Image 1,1
67,27,https://rareregalia.com/wp-content/uploads/2025/07/17022-Y2.jpg,product,0,Celestia Spark Hoops - Yellow Gold - Image 2,2
68,27,https://rareregalia.com/wp-content/uploads/2025/07/17022-Y3.jpg,product,0,Celestia Spark Hoops - Yellow Gold - Image 3,3
69,27,https://rareregalia.com/wp-content/uploads/2025/07/17022-Y4.jpg,product,0,Celestia Spark Hoops - Yellow Gold - Image 4,4
70,28,https://rareregalia.com/wp-content/uploads/2025/07/17023-R3.jpg,product,1,Luna Dew Hoops,1
71,29,https://rareregalia.com/wp-content/uploads/2025/07/17027-R3.jpg,product,1,Soleil Spark Hoops,1
72,30,https://rareregalia.com/wp-content/uploads/2025/07/16003-R1-scaled-1.jpg,product,1,Vow Radiance,1
73,31,https://rareregalia.com/wp-content/uploads/2025/07/16019-R1.jpg,product,1,Celeste Drop Earrings - Rose Gold - Image 1,1
74,31,https://rareregalia.com/wp-content/uploads/2025/07/16019-R2.jpg,product,0,Celeste Drop Earrings - Rose Gold - Image 2,2
75,31,https://rareregalia.com/wp-content/uploads/2025/07/16019-R3.jpg,product,0,Celeste Drop Earrings - Rose Gold - Image 3,3
76,31,https://rareregalia.com/wp-content/uploads/2025/07/16019-R4.jpg,product,0,Celeste Drop Earrings - Rose Gold - Image 4,4
