spec_id,variant_id,spec_type,spec_name,spec_value,unit_of_measure
1,1,technical,Style no,DOC -  0111,various
2,1,technical,18kt Gold wt (gms),4.23,various
3,1,technical,Diamond wt (Ct),2.89,various
4,1,technical,Round Dimond (mm),2.5,various
5,1,technical,Count,10.0,various
6,1,technical,Cushion (mm),7.6x7.6,various
7,1,technical,Count.1,1.0,various
8,2,technical,Style no,DOC -  0111,various
9,2,technical,18kt Gold wt (gms),4.23,various
10,2,technical,Diamond wt (Ct),2.89,various
11,2,technical,Round Dimond (mm),2.5,various
12,2,technical,Count,10.0,various
13,2,technical,Cushion (mm),7.6x7.6,various
14,2,technical,Count.1,1.0,various
15,3,technical,Style no,TB-14078,various
16,3,technical,Count,1.0,various
17,3,technical,Round (mm),2.2,various
18,3,technical,"Single Linking piece 
Diamond wt (Ct)",0.046,various
19,3,technical,"Single linking piece 
length(mm)",2.6,various
20,3,technical,"Single Linking piece 
Volume",15.48,various
21,3,technical,Height (mm),3.25,various
22,3,technical,"No of Linking 
pieces",73.0,various
23,3,technical,"Length of Full 
Bracelet (mm)",189.8,various
24,3,technical,"Full Bracelet 
18kt Gold wt(gms)",14.1933024,various
25,3,technical,"Full Bracelet 
Diamond wt (Ct)",3.358,various
26,3,technical,"Volume of Full 
Bracelet",1130.04,various
27,3,technical,"Volume of Full 
Bracelet 
x 0.0157 (Casting wt)",17.741628,various
28,3,technical,"20 Perfect of 
Full Bracelet volume",3.5483256,various
29,4,technical,Style no,TB-14078,various
30,4,technical,Count,1.0,various
31,4,technical,Round (mm),2.2,various
32,4,technical,"Single Linking piece 
Diamond wt (Ct)",0.046,various
33,4,technical,"Single linking piece 
length(mm)",2.6,various
34,4,technical,"Single Linking piece 
Volume",15.48,various
35,4,technical,Height (mm),3.25,various
36,4,technical,"No of Linking 
pieces",73.0,various
37,4,technical,"Length of Full 
Bracelet (mm)",189.8,various
38,4,technical,"Full Bracelet 
18kt Gold wt(gms)",14.1933024,various
39,4,technical,"Full Bracelet 
Diamond wt (Ct)",3.358,various
40,4,technical,"Volume of Full 
Bracelet",1130.04,various
41,4,technical,"Volume of Full 
Bracelet 
x 0.0157 (Casting wt)",17.741628,various
42,4,technical,"20 Perfect of 
Full Bracelet volume",3.5483256,various
43,5,technical,Style no,TB-14078,various
44,5,technical,Count,1.0,various
45,5,technical,Round (mm),2.2,various
46,5,technical,"Single Linking piece 
Diamond wt (Ct)",0.046,various
47,5,technical,"Single linking piece 
length(mm)",2.6,various
48,5,technical,"Single Linking piece 
Volume",15.48,various
49,5,technical,Height (mm),3.25,various
50,5,technical,"No of Linking 
pieces",73.0,various
51,5,technical,"Length of Full 
Bracelet (mm)",189.8,various
52,5,technical,"Full Bracelet 
18kt Gold wt(gms)",14.1933024,various
53,5,technical,"Full Bracelet 
Diamond wt (Ct)",3.358,various
54,5,technical,"Volume of Full 
Bracelet",1130.04,various
55,5,technical,"Volume of Full 
Bracelet 
x 0.0157 (Casting wt)",17.741628,various
56,5,technical,"20 Perfect of 
Full Bracelet volume",3.5483256,various
57,6,technical,Style no,TB-14078,various
58,6,technical,Count,1.0,various
59,6,technical,Round (mm),2.2,various
60,6,technical,"Single Linking piece 
Diamond wt (Ct)",0.046,various
61,6,technical,"Single linking piece 
length(mm)",2.6,various
62,6,technical,"Single Linking piece 
Volume",15.48,various
63,6,technical,Height (mm),3.25,various
64,6,technical,"No of Linking 
pieces",73.0,various
65,6,technical,"Length of Full 
Bracelet (mm)",189.8,various
66,6,technical,"Full Bracelet 
18kt Gold wt(gms)",14.1933024,various
67,6,technical,"Full Bracelet 
Diamond wt (Ct)",3.358,various
68,6,technical,"Volume of Full 
Bracelet",1130.04,various
69,6,technical,"Volume of Full 
Bracelet 
x 0.0157 (Casting wt)",17.741628,various
70,6,technical,"20 Perfect of 
Full Bracelet volume",3.5483256,various
71,7,technical,Style no,TB-14078,various
72,7,technical,Count,1.0,various
73,7,technical,Round (mm),2.2,various
74,7,technical,"Single Linking piece 
Diamond wt (Ct)",0.046,various
75,7,technical,"Single linking piece 
length(mm)",2.6,various
76,7,technical,"Single Linking piece 
Volume",15.48,various
77,7,technical,Height (mm),3.25,various
78,7,technical,"No of Linking 
pieces",73.0,various
79,7,technical,"Length of Full 
Bracelet (mm)",189.8,various
80,7,technical,"Full Bracelet 
18kt Gold wt(gms)",14.1933024,various
81,7,technical,"Full Bracelet 
Diamond wt (Ct)",3.358,various
82,7,technical,"Volume of Full 
Bracelet",1130.04,various
83,7,technical,"Volume of Full 
Bracelet 
x 0.0157 (Casting wt)",17.741628,various
84,7,technical,"20 Perfect of 
Full Bracelet volume",3.5483256,various
85,8,technical,Style no,TB-14078,various
86,8,technical,Count,1.0,various
87,8,technical,Round (mm),2.2,various
88,8,technical,"Single Linking piece 
Diamond wt (Ct)",0.046,various
89,8,technical,"Single linking piece 
length(mm)",2.6,various
90,8,technical,"Single Linking piece 
Volume",15.48,various
91,8,technical,Height (mm),3.25,various
92,8,technical,"No of Linking 
pieces",73.0,various
93,8,technical,"Length of Full 
Bracelet (mm)",189.8,various
94,8,technical,"Full Bracelet 
18kt Gold wt(gms)",14.1933024,various
95,8,technical,"Full Bracelet 
Diamond wt (Ct)",3.358,various
96,8,technical,"Volume of Full 
Bracelet",1130.04,various
97,8,technical,"Volume of Full 
Bracelet 
x 0.0157 (Casting wt)",17.741628,various
98,8,technical,"20 Perfect of 
Full Bracelet volume",3.5483256,various
99,9,technical,SKU Code,ER-17026,various
100,9,technical,Diamond Wt,0.3,various
101,9,technical,Volume,209.33,various
102,9,technical,Casting wt.,3.286481,various
103,9,technical,18KT wt.(Gm),2.6291848,various
104,9,technical,Diamond Size(Round),0.95,various
105,9,technical,Diamond Count(Round),96.0,various
106,9,technical,Length,19.7,various
107,9,technical,Width,7.48,various
108,9,technical,Reduction,0.6572962,various
109,10,technical,SKU Code,ER-17026,various
110,10,technical,Diamond Wt,0.3,various
111,10,technical,Volume,209.33,various
112,10,technical,Casting wt.,3.286481,various
113,10,technical,18KT wt.(Gm),2.6291848,various
114,10,technical,Diamond Size(Round),0.95,various
115,10,technical,Diamond Count(Round),96.0,various
116,10,technical,Length,19.7,various
117,10,technical,Width,7.48,various
118,10,technical,Reduction,0.6572962,various
119,11,technical,SKU Code,ER-17033,various
120,11,technical,Diamond Wt,0.64,various
121,11,technical,Volume,465.64,various
122,11,technical,Casting wt.,7.310547999999999,various
123,11,technical,18KT wt.(Gm),5.848438399999999,various
124,11,technical,Diamond Size(Round),1.4,various
125,11,technical,Diamond Count(Round),22.0,various
126,11,technical,Length,34.1,various
127,11,technical,Width,18.88,various
128,11,technical,Reduction,1.4621095999999998,various
129,12,technical,SKU Code,ER-17035,various
130,12,technical,Diamond Wt,0.8,various
131,12,technical,Volume,417.64,various
132,12,technical,Casting wt.,6.556947999999999,various
133,12,technical,18KT wt.(Gm),5.245558399999999,various
134,12,technical,Diamond Size(Round),1.8,various
135,12,technical,Diamond Count(Round),2.0,various
136,12,technical,Length,29.67,various
137,12,technical,Width,10.83,various
138,12,technical,Reduction,1.3113896,various
139,13,technical,SKU Code,ER-17045,various
140,13,technical,Diamond Wt,0.41,various
141,13,technical,Volume,224.65,various
142,13,technical,Casting wt.,3.527005,various
143,13,technical,18KT wt.(Gm),2.821604,various
144,13,technical,Diamond Size(Round),1.4,various
145,13,technical,Diamond Count(Round),40.0,various
146,13,technical,Length,28.22,various
147,13,technical,Width,11.73,various
148,13,technical,Reduction,0.7054010000000001,various
149,14,technical,SKU Code,ER-17046,various
150,14,technical,Diamond Wt,0.73,various
151,14,technical,Volume,259.82,various
152,14,technical,Casting wt.,4.079173999999999,various
153,14,technical,18KT wt.(Gm),3.2633391999999994,various
154,14,technical,Diamond Size(Round),1.2,various
155,14,technical,Diamond Count(Round),30.0,various
156,14,technical,Diamond Size(Heart),4.2,various
157,14,technical,Diamond Count(Heart),2.0,various
158,14,technical,Length,20.96,various
159,14,technical,Width,8.65,various
160,14,technical,Reduction,0.8158347999999999,various
161,15,technical,SKU Code,ER-17051,various
162,15,technical,Diamond Wt,0.64,various
163,15,technical,Volume,299.0,various
164,15,technical,Casting wt.,4.694299999999999,various
165,15,technical,18KT wt.(Gm),3.7554399999999992,various
166,15,technical,Diamond Size(Round),1.0,various
167,15,technical,Diamond Count(Round),172.0,various
168,15,technical,Length,20.61,various
169,15,technical,Width,5.68,various
170,15,technical,Reduction,0.93886,various
171,16,technical,SKU Code,ER-17082,various
172,16,technical,Diamond Wt,1.2,various
173,16,technical,Volume,618.44,various
174,16,technical,Casting wt.,9.709508,various
175,16,technical,18KT wt.(Gm),7.7676064,various
176,16,technical,Diamond Size(Round),1.4,various
177,16,technical,Diamond Count(Round),2.0,various
178,16,technical,Length,62.43,various
179,16,technical,Width,11.95,various
180,16,technical,Reduction,1.9419016,various
181,17,technical,SKU Code,ER-17001,various
182,17,technical,Diamond Wt,0.49,various
183,17,technical,Volume,236.99,various
184,17,technical,Casting wt.,3.720743,various
185,17,technical,18KT wt.(Gm),2.9765944,various
186,17,technical,Diamond Size(Round),1.4,various
187,17,technical,Diamond Count(Round),48.0,various
188,17,technical,Length,16.62,various
189,17,technical,Width,1.85,various
190,17,technical,Reduction,0.7441485999999999,various
191,18,technical,SKU Code,ER-17002,various
192,18,technical,Diamond Wt,0.97,various
193,18,technical,Volume,259.9,various
194,18,technical,Casting wt.,4.080429999999999,various
195,18,technical,18KT wt.(Gm),3.264343999999999,various
196,18,technical,Diamond Size(Round),2.1,various
197,18,technical,Diamond Count(Round),28.0,various
198,18,technical,Length,15.28,various
199,18,technical,Width,2.3,various
200,18,technical,Reduction,0.8160859999999999,various
201,19,technical,SKU Code,ER-17005,various
202,19,technical,Diamond Wt,0.4,various
203,19,technical,Volume,362.12,various
204,19,technical,Casting wt.,5.685283999999999,various
205,19,technical,18KT wt.(Gm),4.5482272,various
206,19,technical,Diamond Size(Round),1.55,various
207,19,technical,Diamond Count(Round),30.0,various
208,19,technical,Length,17.64,various
209,19,technical,Width,2.01,various
210,19,technical,Reduction,1.1370568,various
211,20,technical,SKU Code,ER-17007,various
212,20,technical,Diamond Wt,0.31,various
213,20,technical,Volume,246.85,various
214,20,technical,Casting wt.,3.875545,various
215,20,technical,18KT wt.(Gm),3.100436,various
216,20,technical,Diamond Size(Round),1.3,various
217,20,technical,Diamond Count(Round),16.0,various
218,20,technical,Length,10.94,various
219,20,technical,Width,4.33,various
220,20,technical,Reduction,0.775109,various
221,21,technical,SKU Code,ER-17012,various
222,21,technical,Diamond Wt,0.83,various
223,21,technical,Volume,529.22,various
224,21,technical,Casting wt.,8.308754,various
225,21,technical,18KT wt.(Gm),6.6470032,various
226,21,technical,Diamond Size(Round),1.6,various
227,21,technical,Diamond Count(Round),54.0,various
228,21,technical,Length,12.92,various
229,21,technical,Width,6.06,various
230,21,technical,Reduction,1.6617508,various
231,22,technical,SKU Code,ER-17017,various
232,22,technical,Diamond Wt,0.83,various
233,22,technical,Volume,451.5,various
234,22,technical,Casting wt.,7.08855,various
235,22,technical,18KT wt.(Gm),5.67084,various
236,22,technical,Diamond Size(Round),1.5,various
237,22,technical,Diamond Count(Round),66.0,various
238,22,technical,Length,29.51,various
239,22,technical,Width,2.0,various
240,22,technical,Reduction,1.41771,various
241,23,technical,SKU Code,ER-17021,various
242,23,technical,Diamond Wt,0.4,various
243,23,technical,Volume,333.54,various
244,23,technical,Casting wt.,5.236578,various
245,23,technical,18KT wt.(Gm),4.1892624,various
246,23,technical,Diamond Size(Round),1.1,various
247,23,technical,Diamond Count(Round),16.0,various
248,23,technical,Length,17.23,various
249,23,technical,Width,3.58,various
250,23,technical,Reduction,1.0473156,various
251,24,technical,SKU Code,ER-17022,various
252,24,technical,Diamond Wt,0.61,various
253,24,technical,Volume,390.8,various
254,24,technical,Casting wt.,6.13556,various
255,24,technical,18KT wt.(Gm),4.908448,various
256,24,technical,Diamond Size(Round),1.3,various
257,24,technical,Diamond Count(Round),74.0,various
258,24,technical,Length,17.16,various
259,24,technical,Width,4.0,various
260,24,technical,Reduction,1.227112,various
261,25,technical,SKU Code,ER-17022,various
262,25,technical,Diamond Wt,0.61,various
263,25,technical,Volume,390.8,various
264,25,technical,Casting wt.,6.13556,various
265,25,technical,18KT wt.(Gm),4.908448,various
266,25,technical,Diamond Size(Round),1.3,various
267,25,technical,Diamond Count(Round),74.0,various
268,25,technical,Length,17.16,various
269,25,technical,Width,4.0,various
270,25,technical,Reduction,1.227112,various
271,26,technical,SKU Code,ER-17022,various
272,26,technical,Diamond Wt,0.61,various
273,26,technical,Volume,390.8,various
274,26,technical,Casting wt.,6.13556,various
275,26,technical,18KT wt.(Gm),4.908448,various
276,26,technical,Diamond Size(Round),1.3,various
277,26,technical,Diamond Count(Round),74.0,various
278,26,technical,Length,17.16,various
279,26,technical,Width,4.0,various
280,26,technical,Reduction,1.227112,various
281,27,technical,SKU Code,ER-17022,various
282,27,technical,Diamond Wt,0.61,various
283,27,technical,Volume,390.8,various
284,27,technical,Casting wt.,6.13556,various
285,27,technical,18KT wt.(Gm),4.908448,various
286,27,technical,Diamond Size(Round),1.3,various
287,27,technical,Diamond Count(Round),74.0,various
288,27,technical,Length,17.16,various
289,27,technical,Width,4.0,various
290,27,technical,Reduction,1.227112,various
291,28,technical,SKU Code,ER-17023,various
292,28,technical,Diamond Wt,1.33,various
293,28,technical,Volume,460.17,various
294,28,technical,Casting wt.,7.224669,various
295,28,technical,18KT wt.(Gm),5.779735199999999,various
296,28,technical,Diamond Size(Pear),4 * 3,various
297,28,technical,Diamond Count(Pear),10.0,various
298,28,technical,Length,16.54,various
299,28,technical,Width,3.9,various
300,28,technical,Reduction,1.4449338,various
301,29,technical,SKU Code,ER-17027,various
302,29,technical,Diamond Wt,0.46,various
303,29,technical,Volume,245.14,various
304,29,technical,Casting wt.,3.8486979999999993,various
305,29,technical,18KT wt.(Gm),3.0789583999999994,various
306,29,technical,Diamond Size(Round),2.3,various
307,29,technical,Diamond Count(Round),10.0,various
308,29,technical,Length,10.68,various
309,29,technical,Width,2.48,various
310,29,technical,Reduction,0.7697395999999999,various
311,30,technical,SKU Code,ER-16003,various
312,30,technical,Diamond Size(mm),1.0,various
313,30,technical,Diamond Count,46.0,various
314,30,technical,Length(mm),23.65,various
315,30,technical,Width(mm),7.17,various
316,30,technical,Volume,270.5,various
317,30,technical,Diamond Wt.(Cts),0.92,various
318,30,technical,Casting wt.,4.246849999999999,various
319,30,technical,0.2,0.84937,various
320,30,technical,18KT wt.(Gm),3.3974799999999994,various
321,31,technical,SKU Code,ER-16019,various
322,31,technical,Diamond Size(mm),1.1,various
323,31,technical,Diamond Count,66.0,various
324,31,technical,Length(mm),18.79,various
325,31,technical,Width(mm),8.31,various
326,31,technical,Volume,283.43,various
327,31,technical,Diamond Wt.(Cts),0.92,various
328,31,technical,Casting wt.,4.449851,various
329,31,technical,0.2,0.8899702,various
330,31,technical,18KT wt.(Gm),3.5598808,various
331,32,technical,SKU Code,ER-16019,various
332,32,technical,Diamond Size(mm),1.1,various
333,32,technical,Diamond Count,66.0,various
334,32,technical,Length(mm),18.79,various
335,32,technical,Width(mm),8.31,various
336,32,technical,Volume,283.43,various
337,32,technical,Diamond Wt.(Cts),0.92,various
338,32,technical,Casting wt.,4.449851,various
339,32,technical,0.2,0.8899702,various
340,32,technical,18KT wt.(Gm),3.5598808,various
341,33,technical,SKU Code,ER-16019,various
342,33,technical,Diamond Size(mm),1.1,various
343,33,technical,Diamond Count,66.0,various
344,33,technical,Length(mm),18.79,various
345,33,technical,Width(mm),8.31,various
346,33,technical,Volume,283.43,various
347,33,technical,Diamond Wt.(Cts),0.92,various
348,33,technical,Casting wt.,4.449851,various
349,33,technical,0.2,0.8899702,various
350,33,technical,18KT wt.(Gm),3.5598808,various
351,34,technical,SKU Code,ER-16019,various
352,34,technical,Diamond Size(mm),1.1,various
