batch,style_no,sku_numeric,product_id,gold_weight_gms,diamond_weight_ct,diamond_type_total,variant_color,variant_size,variant_images,variant_image_count,variant_videos,variant_video_count,variant_total,image_file_count,video_file_count,diamond_type1,diamond_type1_count,diamond_type1_dimensions,diamond_type2,diamond_type2_count,diamond_type2_dimensions,diamond_type3,diamond_type3_count,diamond_type3_dimensions,diamond_type4,diamond_type4_count,diamond_type4_dimensions,diamond_type5,diamond_type5_count,diamond_type5_dimensions,diamond_type6,diamond_type6_count,diamond_type6_dimensions,diamond_type7,diamond_type7_count,diamond_type7_dimensions,diamond_type8,diamond_type8_count,diamond_type8_dimensions,diamond_type9,diamond_type9_count,diamond_type9_dimensions,diamond_type10,diamond_type10_count,diamond_type10_dimensions,diamond_type11,diamond_type11_count,diamond_type11_dimensions,diamond_type12,diamond_type12_count,diamond_type12_dimensions,diamond_type13,diamond_type13_count,diamond_type13_dimensions
Batch-1,DOC - SR 0016,0016,0016-W,3.04,1.01,1,White,,vendor-data\Batch-1\0016\0016-Model-White.jpg | vendor-data\Batch-1\0016\0016-Render-W1.jpg | vendor-data\Batch-1\0016\0016-Render-W2.jpg | vendor-data\Batch-1\0016\0016-Render-W3.jpg | vendor-data\Batch-1\0016\0016-Render-W4.jpg,5,vendor-data\Batch-1\0016\0016-White.mp4,1,3,13,3,Oval,1,7.7x5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-1,DOC - SR 0016,0016,0016-RG,3.04,1.01,1,Rose,,vendor-data\Batch-1\0016\0016-Render-R1.jpg | vendor-data\Batch-1\0016\0016-Render-R2.jpg | vendor-data\Batch-1\0016\0016-Render-R3.jpg | vendor-data\Batch-1\0016\0016-Render-R4.jpg | vendor-data\Batch-1\0016\0016-Render-Y1.jpg | vendor-data\Batch-1\0016\0016-Render-Y2.jpg | vendor-data\Batch-1\0016\0016-Render-Y3.jpg | vendor-data\Batch-1\0016\0016-Render-Y4.jpg,8,vendor-data\Batch-1\0016\0016-Rose.mp4,1,3,13,3,Oval,1,7.7x5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-1,DOC - SR 0016,0016,0016-Y,3.04,1.01,1,Yellow,,,0,vendor-data\Batch-1\0016\0016-Yellow.mp4,1,3,13,3,Oval,1,7.7x5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-1,DOC - SR 0024,0024,0024-W,2.68,1.58,2,White,,vendor-data\Batch-1\0024\0024-Model-White.jpg | vendor-data\Batch-1\0024\0024-Render-W1.jpg | vendor-data\Batch-1\0024\0024-Render-W2.jpg | vendor-data\Batch-1\0024\0024-Render-W3.jpg | vendor-data\Batch-1\0024\0024-Render-W4.jpg,5,vendor-data\Batch-1\0024\0024-White.mp4,1,3,13,3,Round,18,1.45,Round,1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-1,DOC - SR 0024,0024,0024-RG,2.68,1.58,2,Rose,,vendor-data\Batch-1\0024\0024-Render-R1.jpg | vendor-data\Batch-1\0024\0024-Render-R2.jpg | vendor-data\Batch-1\0024\0024-Render-R3.jpg | vendor-data\Batch-1\0024\0024-Render-R4.jpg | vendor-data\Batch-1\0024\0024-Render-Y1.jpg | vendor-data\Batch-1\0024\0024-Render-Y2.jpg | vendor-data\Batch-1\0024\0024-Render-Y3.jpg | vendor-data\Batch-1\0024\0024-Render-Y4.jpg,8,vendor-data\Batch-1\0024\0024-Rose.mp4,1,3,13,3,Round,18,1.45,Round,1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-1,DOC - SR 0024,0024,0024-Y,2.68,1.58,2,Yellow,,,0,vendor-data\Batch-1\0024\0024-Yellow.mp4,1,3,13,3,Round,18,1.45,Round,1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-1,DOC - SR 0025,0025,0025-W,3.4,1.6,2,White,,vendor-data\Batch-1\0025\0025-Model-White.jpg | vendor-data\Batch-1\0025\0025-Render-W1.jpg | vendor-data\Batch-1\0025\0025-Render-W2.jpg | vendor-data\Batch-1\0025\0025-Render-W3.jpg | vendor-data\Batch-1\0025\0025-Render-W4.jpg,5,vendor-data\Batch-1\0025\0025-White.mp4,1,3,13,3,Round,14,1.85,Round,1,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-1,DOC - SR 0025,0025,0025-RG,3.4,1.6,2,Rose,,vendor-data\Batch-1\0025\0025-Render-R1.jpg | vendor-data\Batch-1\0025\0025-Render-R2.jpg | vendor-data\Batch-1\0025\0025-Render-R3.jpg | vendor-data\Batch-1\0025\0025-Render-R4.jpg | vendor-data\Batch-1\0025\0025-Render-Y1.jpg | vendor-data\Batch-1\0025\0025-Render-Y2.jpg | vendor-data\Batch-1\0025\0025-Render-Y3.jpg | vendor-data\Batch-1\0025\0025-Render-Y4.jpg,8,vendor-data\Batch-1\0025\0025-Rose.mp4,1,3,13,3,Round,14,1.85,Round,1,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-1,DOC - SR 0025,0025,0025-Y,3.4,1.6,2,Yellow,,,0,vendor-data\Batch-1\0025\0025-Yellow.mp4,1,3,13,3,Round,14,1.85,Round,1,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-13,DOC - P 1201,1201,1201-W,1.61,0.14,0,White,,vendor-data\Batch-13\1201\1201-Render-W1.jpg | vendor-data\Batch-13\1201\1201-Render-W2.jpg | vendor-data\Batch-13\1201\1201-Render-W3.jpg | vendor-data\Batch-13\1201\1201-Render-W4.jpg,4,,0,3,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-13,DOC - P 1201,1201,1201-RG,1.61,0.14,0,Rose,,vendor-data\Batch-13\1201\1201-Render-R1.jpg | vendor-data\Batch-13\1201\1201-Render-R2.jpg | vendor-data\Batch-13\1201\1201-Render-R3.jpg | vendor-data\Batch-13\1201\1201-Render-R4.jpg | vendor-data\Batch-13\1201\1201-Render-Y1.jpg | vendor-data\Batch-13\1201\1201-Render-Y2.jpg | vendor-data\Batch-13\1201\1201-Render-Y3.jpg | vendor-data\Batch-13\1201\1201-Render-Y4.jpg,8,vendor-data\Batch-13\1201\1201-Rose.mp4,1,3,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-13,DOC - P 1201,1201,1201-Y,1.61,0.14,0,Yellow,,vendor-data\Batch-13\1201\PD-1201-Model-Yellow.jpg,1,,0,3,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch-13,DOC - P 1203,1203,1203-W,1.5,0.12,0,White,,vendor-data\Batch-13\1203\1203-Render-W1.jpg | vendor-data\Batch-13\1203\1203-Render-W2.jpg | vendor-data\Batch-13\1203\1203-Render-W3.jpg | vendor-data\Batch-13\1203\1203-Render-W4.jpg,4,,0,3,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
